freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3628000000.000000,-0.021766216,0.021766216,0.040761534,0.036784532,-3.289247508309,-3.289247508309,0.018995318,0.015018316
3629000000.000000,-0.020878766,0.020878766,0.041654069,0.037667924,-3.305740869740,-3.305740869740,0.020775303,0.016789158
3630000000.000000,-0.025068859,0.025068859,0.042466644,0.038471769,-3.322234231171,-3.322234231171,0.017397785,0.013402910
3631000000.000000,-0.042797494,0.042797494,0.043199909,0.039196715,-3.338727592603,-3.338727592603,0.000402415,-0.003600779
3632000000.000000,-0.002390482,0.002390482,0.043854553,0.039843447,-3.355220954034,-3.355220954034,0.041464071,0.037452965
3633000000.000000,-0.033510430,0.033510430,0.044431305,0.040412694,-3.371714315465,-3.371714315465,0.010920875,0.006902264
3634000000.000000,-0.022376386,0.022376386,0.044930935,0.040905220,-3.388207676897,-3.388207676897,0.022554549,0.018528834
3635000000.000000,-0.031784420,0.031784420,0.045354250,0.041321830,-3.404701038328,-3.404701038328,0.013569830,0.009537410
3636000000.000000,-0.018587187,0.018587187,0.045702093,0.041663367,-3.421194399759,-3.421194399759,0.027114906,0.023076180
3637000000.000000,-0.034838360,0.034838360,0.045975347,0.041930708,-3.437687761191,-3.437687761191,0.011136987,0.007092348
3638000000.000000,-0.020228560,0.020228560,0.046174929,0.042124767,-3.454181122622,-3.454181122622,0.025946369,0.021896207
3639000000.000000,-0.043439221,0.043439221,0.046301791,0.042246495,-3.470674484053,-3.470674484053,0.002862570,-0.001192726
3640000000.000000,-0.021296192,0.021296192,0.046356920,0.042296875,-3.487167845485,-3.487167845485,0.025060728,0.021000683
3641000000.000000,-0.038408400,0.038408400,0.046341334,0.042276922,-3.503661206916,-3.503661206916,0.007932934,0.003868522
3642000000.000000,-0.042433800,0.042433800,0.046256087,0.042187686,-3.520154568347,-3.520154568347,0.003822287,-0.000246114
