tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
29,-3.005991386284026e-01,3.325623863429954e-02,-9850,1090,-3.005981445312500e-01,3.326416015625000e-02,3.024330485355906e-01,9.940971525956854e-07,7.921521950463029e-06
30,7.250643423529096e-02,-1.894641776578088e-01,2376,-6208,7.250976562500000e-02,-1.894531250000000e-01,2.028550040872989e-01,3.331389709038124e-06,1.105265780881881e-05
31,6.302515602630927e-02,5.503724176496413e-02,2065,1803,6.301879882812500e-02,5.502319335937500e-02,8.365955303014030e-02,-6.357198184273050e-06,-1.404840558913434e-05
32,4.579488053377741e-02,1.936223090657300e-02,1501,634,4.580688476562500e-02,1.934814453125000e-02,4.972546016613005e-02,1.200423184758576e-05,-1.408637532299833e-05
33,-8.768764521850497e-02,1.322356975890016e-01,-2873,4333,-8.767700195312500e-02,1.322326660156250e-01,1.586591775885912e-01,1.064326537997262e-05,-3.031573376638397e-06
34,-1.229399813931313e-01,-2.120443344478292e-01,-4028,-6948,-1.229248046875000e-01,-2.120361328125000e-01,2.450914711399402e-01,1.517670563126738e-05,8.201635329219137e-06
35,2.967956714839937e-01,-1.032528444425282e-02,9725,-338,2.967834472656250e-01,-1.031494140625000e-02,2.969626451038622e-01,-1.222421836866161e-05,1.034303800281910e-05
36,-1.383062663786506e-01,2.771481499356079e-01,-4532,9082,-1.383056640625000e-01,2.771606445312500e-01,3.097522874633003e-01,6.023161506218955e-07,1.249459564206523e-05
37,-1.632084724129802e-01,-2.326001113348266e-01,-5348,-7622,-1.632080078125000e-01,-2.326049804687500e-01,2.841512462633107e-01,4.646004802266734e-07,-4.869133923446345e-06
38,2.237990750680991e-01,-2.850364304267952e-02,7333,-934,2.237854003906250e-01,-2.850341796875000e-02,2.255933293869604e-01,-1.367467747406814e-05,2.250739295217574e-07
39,-4.516241961953724e-02,1.360715771786815e-01,-1480,4459,-4.516601562500000e-02,1.360778808593750e-01,1.433776782718147e-01,-3.596005462756791e-06,6.303680693459102e-06
40,-4.490915830023775e-02,-2.507037023873806e-02,-1472,-822,-4.492187500000000e-02,-2.508544921875000e-02,5.145147826857951e-02,-1.271669976225104e-05,-1.507898001194136e-05
41,-5.291658308955947e-02,-2.114773812200280e-02,-1734,-693,-5.291748046875000e-02,-2.114868164062500e-02,5.698707287005577e-02,-8.973791905328432e-07,-9.435186222039871e-07
42,8.173265796925852e-02,-1.137967935551206e-01,2678,-3729,8.172607421875000e-02,-1.138000488281250e-01,1.401056826845088e-01,-6.583750508520891e-06,-3.255273004390546e-06
