freq_hz,h1_abs_db,fixed_fir_abs_db,fixed_fir_phase_rad,fixed_total_abs_db,fixed_total_phase_rad,target_phase_rad,fixed_phase_error_rad,fixed_total_group_delay_ns
3603000000.000000,2.858507700000e-02,-3.263387495392e-02,1.316234405697e+00,-4.048797953918e-03,-8.050958763432e+00,-8.054258165641e+00,3.299402209212e-03,1.011403738195e+01
3604000000.000000,4.199847000000e-02,-3.027757638405e-02,1.258331662603e+00,1.172089361595e-02,-8.118900747528e+00,-8.121017009530e+00,2.116262001460e-03,1.101588322444e+01
3605000000.000000,4.507969800000e-02,-2.796766695744e-02,1.200426917773e+00,1.711203104256e-02,-8.189388434674e+00,-8.187775853418e+00,-1.612581256065e-03,1.070940578117e+01
3606000000.000000,1.940478900000e-02,-2.570222374955e-02,1.142520557785e+00,-6.297434749551e-03,-8.253479109634e+00,-8.254534697307e+00,1.055587673189e-03,1.019931197571e+01
3607000000.000000,2.517600600000e-02,-2.347930541610e-02,1.084613002217e+00,1.696700583899e-03,-8.317556768973e+00,-8.321293541196e+00,3.736772223244e-03,1.090587095044e+01
3608000000.000000,2.018566000000e-03,-2.129696219112e-02,1.026704700785e+00,-1.927839619112e-02,-8.390526325870e+00,-8.388052385085e+00,-2.473940784839e-03,1.104524582313e+01
3609000000.000000,6.572680000002e-03,-1.915324623374e-02,9.687961302458e-01,-1.258056623374e-02,-8.456355421513e+00,-8.454811228974e+00,-1.544192539390e-03,1.011814288006e+01
3610000000.000000,5.641941000003e-03,-1.704622229329e-02,9.108877911102e-01,-1.140428129328e-02,-8.517674659229e+00,-8.521570072862e+00,3.895413632764e-03,1.062080304911e+01
3611000000.000000,1.798889900000e-02,-1.497397867715e-02,8.529802041996e-01,3.014920322853e-03,-8.589820368850e+00,-8.588328916751e+00,-1.491452098980e-03,1.073940392378e+01
3612000000.000000,1.331395500000e-02,-1.293463848723e-02,7.950739070837e-01,3.793165127727e-04,-8.652629989113e+00,-8.655087760640e+00,2.457771526858e-03,9.715440100247e+00
3613000000.000000,-5.246800000000e-03,-1.092637108131e-02,7.371694504373e-01,-1.617317108131e-02,-8.711908189831e+00,-8.721846604529e+00,9.938414697242e-03,1.109225598854e+01
3614000000.000000,-5.179258000000e-03,-8.947403711190e-03,6.792673943553e-01,-1.412666171119e-02,-8.792019388814e+00,-8.788605448417e+00,-3.413940396925e-03,1.163838887317e+01
3615000000.000000,2.277564900000e-02,-6.996033275981e-03,6.213683046630e-01,1.577961572402e-02,-8.858160497766e+00,-8.855364292306e+00,-2.796205459404e-03,1.040769479120e+01
3616000000.000000,-1.262590500000e-02,-5.070638125915e-03,5.634727492579e-01,-1.769654312592e-02,-8.922806338802e+00,-8.922123136195e+00,-6.832026067567e-04,1.046198519229e+01
3617000000.000000,-1.163195700000e-02,-3.169689844777e-03,5.055812945198e-01,-1.480164684478e-02,-8.989629681054e+00,-8.988881980084e+00,-7.477009701109e-04,1.034171756374e+01
3618000000.000000,-4.798041000000e-03,-1.291764926809e-03,4.476945018239e-01,-6.089805926810e-03,-9.052764194497e+00,-9.055640823973e+00,2.876629475821e-03,1.069311214159e+01
3619000000.000000,1.475770400000e-02,5.644437310067e-04,3.898129241887e-01,1.532214773101e-02,-9.124003291246e+00,-9.122399667861e+00,-1.603623384575e-03,1.081411109614e+01
3620000000.000000,3.196522999999e-03,2.400115617456e-03,3.319371030909e-01,5.596638617455e-03,-9.188658322396e+00,-9.189158511750e+00,5.001893543639e-04,1.063954733342e+01
3621000000.000000,1.509310200000e-02,4.216291763878e-03,2.740675654749e-01,1.930939376388e-02,-9.257703786207e+00,-9.255917355639e+00,-1.786430567826e-03,1.091549676464e+01
3622000000.000000,-2.356546500000e-02,6.013864369980e-03,2.162048209856e-01,-1.755160063002e-02,-9.325826500180e+00,-9.322676199528e+00,-3.150300652388e-03,1.058462157967e+01
3623000000.000000,-2.230670300000e-02,7.793566993692e-03,1.583493594450e-01,-1.451313600631e-02,-9.390714063790e+00,-9.389435043416e+00,-1.279020373181e-03,1.058182498548e+01
3624000000.000000,-1.114813500000e-02,9.555965404524e-03,1.005016485978e-01,-1.592169595477e-03,-9.458801634724e+00,-9.456193887305e+00,-2.607747418653e-03,1.047438997088e+01
3625000000.000000,-1.310575900000e-02,1.130144919757e-02,4.266213214055e-02,-1.804309802429e-03,-9.522339130123e+00,-9.522952731194e+00,6.136010709561e-04,1.088262547190e+01
3626000000.000000,-2.910672600000e-02,1.303022426686e-02,-1.516877194736e-02,-1.607650173314e-02,-9.595556739661e+00,-9.589711575083e+00,-5.845164578202e-03,1.043779642905e+01
3627000000.000000,-1.053289900000e-02,1.474230622777e-02,-7.299067276115e-02,4.209407227771e-03,-9.653504348448e+00,-9.656470418972e+00,2.966070523785e-03,1.014934819926e+01
3628000000.000000,-2.176621600000e-02,1.643751488491e-02,-1.308032075055e-01,-5.328701115087e-03,-9.723097210627e+00,-9.723229262860e+00,1.320522332566e-04,1.037977830205e+01
3629000000.000000,-2.087876600000e-02,1.811546981880e-02,-1.886060422026e-01,-2.763296181205e-03,-9.783940489486e+00,-9.789988106749e+00,6.047617262963e-03,1.058820452530e+01
3630000000.000000,-2.506885900000e-02,1.977558718883e-02,-2.463988720700e-01,-5.293271811173e-03,-9.856152512833e+00,-9.856746950638e+00,5.944378052565e-04,1.121256420041e+01
3631000000.000000,-4.279749400000e-02,2.141707780440e-02,-3.041814215692e-01,-2.138041619560e-02,-9.924841726766e+00,-9.923505794527e+00,-1.335932239133e-03,1.082994977354e+01
3632000000.000000,-2.390482000000e-03,2.303894654349e-02,-3.619534441283e-01,2.064846454349e-02,-9.992245675422e+00,-9.990264638416e+00,-1.981037006406e-03,1.076388617233e+01
3633000000.000000,-3.351043000000e-02,2.463999316662e-02,-4.197147215465e-01,-8.870436833380e-03,-1.006010470966e+01,-1.005702348230e+01,-3.081227353887e-03,1.035549679333e+01
3634000000.000000,-2.237638600000e-02,2.621881457572e-02,-4.774650630891e-01,3.842428575716e-03,-1.012237668602e+01,-1.012378232619e+01,1.405640170329e-03,1.086592298770e+01
3635000000.000000,-3.178442000000e-02,2.777380854857e-02,-5.352043042860e-01,-4.010611451427e-03,-1.019664992499e+01,-1.019054117008e+01,-6.108754906833e-03,1.080977714426e+01
3636000000.000000,-1.858718700000e-02,2.930317897771e-02,-5.929323054495e-01,1.071599197770e-02,-1.025821635188e+01,-1.025730001397e+01,-9.163379055330e-04,1.016321742961e+01
3637000000.000000,-3.483836000000e-02,3.080494262176e-02,-6.506489499279e-01,-4.033417378237e-03,-1.032436468184e+01,-1.032405885786e+01,-3.058239841049e-04,1.055033165119e+01
3638000000.000000,-2.022856000000e-02,3.227693737052e-02,-7.083541421158e-01,1.204837737052e-02,-1.039079572951e+01,-1.039081770175e+01,2.197223877509e-05,1.062549944601e+01
3639000000.000000,-4.343922100000e-02,3.371683201263e-02,-7.660478052431e-01,-9.722388987375e-03,-1.045788864584e+01,-1.045757654564e+01,-3.121002077240e-04,1.028129254521e+01
3640000000.000000,-2.129619200000e-02,3.512213747391e-02,-8.237298789655e-01,1.382594547391e-02,-1.051999426203e+01,-1.052433538953e+01,4.341127498632e-03,1.061071714073e+01
3641000000.000000,-3.840840000000e-02,3.649021949475e-02,-8.814003167837e-01,-1.918180505246e-03,-1.059122684992e+01,-1.059109423341e+01,-1.326165047733e-04,1.153746485024e+01
3642000000.000000,-4.243380000000e-02,3.781831268932e-02,-9.390590833158e-01,-4.615487310683e-03,-1.066497832129e+01,-1.065785307730e+01,-7.125243982076e-03,1.084097276315e+01
3643000000.000000,-3.409257800000e-02,3.910353592020e-02,-9.967061514526e-01,5.010957920195e-03,-1.072745853148e+01,-1.072461192119e+01,-2.846610289126e-03,1.034105026716e+01
3644000000.000000,-4.677025100000e-02,4.034290891617e-02,-1.054341499424e+00,-6.427342083833e-03,-1.079492779148e+01,-1.079137076508e+01,-3.557026403344e-03,1.013337518456e+01
3645000000.000000,-3.597659500000e-02,4.153337003695e-02,-1.111965107802e+00,5.556775036944e-03,-1.085479827962e+01,-1.085812960897e+01,3.331329344949e-03,1.014299473834e+01
3646000000.000000,-4.555528500000e-02,4.267179508370e-02,-1.169576956480e+00,-2.883489916299e-03,-1.092238842251e+01,-1.092488845286e+01,2.500030352763e-03,1.131959290460e+01
3647000000.000000,-4.206104300000e-02,4.375501704638e-02,-1.227177021641e+00,1.693974046381e-03,-1.099704447927e+01,-1.099164729675e+01,-5.397182520335e-03,1.106926336916e+01
3648000000.000000,-4.814279800000e-02,4.477984665555e-02,-1.284765272760e+00,-3.362951344450e-03,-1.106148888843e+01,-1.105840614064e+01,-3.082747794577e-03,9.929120204249e+00
3649000000.000000,-4.349795400000e-02,4.574309361528e-02,-1.342341669660e+00,2.245139615281e-03,-1.112181748363e+01,-1.112516498452e+01,3.347500896131e-03,1.006105830562e+01
3650000000.000000,-4.343006800000e-02,4.664158836565e-02,-1.399906159652e+00,3.211520365652e-03,-1.118791987587e+01,-1.119192382841e+01,4.003952541959e-03,1.085691358630e+01
3651000000.000000,-4.288633600000e-02,4.747220423365e-02,-1.457458674784e+00,4.585868233644e-03,-1.125824948348e+01,-1.125868267230e+01,4.331888201339e-04,1.069492515643e+01
3652000000.000000,-5.060895400000e-02,4.823187980947e-02,-1.514999129226e+00,-2.377074190529e-03,-1.132231626908e+01,-1.132544151619e+01,3.125247111008e-03,1.051152722977e+01
3653000000.000000,-4.093384800000e-02,4.891764139448e-02,-1.572527416817e+00,7.983793394482e-03,-1.139034123037e+01,-1.139220036008e+01,1.859129705442e-03,1.099701035759e+01
3654000000.000000,-3.958880100000e-02,4.952662535064e-02,-1.630043408792e+00,9.937824350641e-03,-1.146050877688e+01,-1.145895920397e+01,-1.549572914891e-03,1.097730605182e+01
3655000000.000000,-4.227885100000e-02,5.005610018786e-02,-1.687546951711e+00,7.777249187864e-03,-1.152828612657e+01,-1.152571804786e+01,-2.568078711404e-03,1.050592871169e+01
3656000000.000000,-5.366923000000e-02,5.050348822214e-02,-1.745037865613e+00,-3.165741777857e-03,-1.159253017072e+01,-1.159247689175e+01,-5.327897643426e-05,1.062038907838e+01
3657000000.000000,-5.096193900000e-02,5.086638663275e-02,-1.802515942404e+00,-9.555236724967e-05,-1.166174587180e+01,-1.165923573564e+01,-2.510136161471e-03,1.103265169224e+01
3658000000.000000,-4.986255200000e-02,5.114258775843e-02,-1.859980944502e+00,1.280035758436e-03,-1.173117056075e+01,-1.172599457952e+01,-5.175981222687e-03,1.022296398925e+01
3659000000.000000,-3.939825300000e-02,5.133009846586e-02,-1.917432603745e+00,1.193184546586e-02,-1.179021142606e+01,-1.179275342341e+01,2.541997349866e-03,1.035622075129e+01
3660000000.000000,-4.027470000000e-02,5.142715843488e-02,-1.974870620576e+00,1.115245843488e-02,-1.186131066887e+01,-1.185951226730e+01,-1.798401569902e-03,1.068566297240e+01
3661000000.000000,-3.967777100000e-02,5.143225720771e-02,-2.032294663506e+00,1.175448620771e-02,-1.192449142723e+01,-1.192627111119e+01,1.779683956165e-03,1.065843220733e+01
3662000000.000000,-4.629555400000e-02,5.134414985549e-02,-2.089704368876e+00,5.048595855488e-03,-1.199524847816e+01,-1.199302995508e+01,-2.218523077739e-03,1.043003200116e+01
3663000000.000000,-4.166445700000e-02,5.116187113047e-02,-2.147099340896e+00,9.497414130471e-03,-1.205555907488e+01,-1.205978879897e+01,4.229724087507e-03,1.037700169969e+01
3664000000.000000,-4.811947700000e-02,5.088474797087e-02,-2.204479151986e+00,2.765270970872e-03,-1.212564972738e+01,-1.212654764286e+01,8.979154757114e-04,1.075339161530e+01
3665000000.000000,-4.822146800000e-02,5.051241024520e-02,-2.261843343407e+00,2.290942245197e-03,-1.219069017928e+01,-1.219330648675e+01,2.616307465884e-03,1.055052132802e+01
3666000000.000000,-4.739488300000e-02,5.004479963284e-02,-2.319191426168e+00,2.649916632846e-03,-1.225823148856e+01,-1.226006533063e+01,1.833842070655e-03,1.062335031923e+01
3667000000.000000,-4.111786400000e-02,4.948217654461e-02,-2.376522882223e+00,8.364312544614e-03,-1.232418713656e+01,-1.232682417452e+01,2.637037965890e-03,1.092748389146e+01
3668000000.000000,-4.866122800000e-02,4.882512500646e-02,-2.433837165934e+00,1.638970064618e-04,-1.239555030103e+01,-1.239358301841e+01,-1.967282614251e-03,1.076051756678e+01
3669000000.000000,-4.612659400000e-02,4.807455544314e-02,-2.491133705791e+00,1.947961443141e-03,-1.245940778830e+01,-1.246034186230e+01,9.340739969144e-04,9.932505614251e+00
3670000000.000000,-5.127828000000e-02,4.723170530862e-02,-2.548411906382e+00,-4.046574691384e-03,-1.252036584770e+01,-1.252710070619e+01,6.734858485427e-03,1.047140727494e+01
3671000000.000000,-2.844035700000e-02,4.629813753045e-02,-2.605671150598e+00,1.785778053045e-02,-1.259099537297e+01,-1.259385955008e+01,2.864177103712e-03,1.081946221857e+01
3672000000.000000,-5.325955400000e-02,4.527573674892e-02,-2.662910802045e+00,-7.983817251083e-03,-1.265632721979e+01,-1.266061839397e+01,4.291174176394e-03,1.088768043575e+01
3673000000.000000,-4.247663600000e-02,4.416670334205e-02,-2.720130207663e+00,1.690067342054e-03,-1.272781400046e+01,-1.272737723786e+01,-4.367626050197e-04,1.145898591150e+01
3674000000.000000,-4.085226700000e-02,4.297354526573e-02,-2.777328700516e+00,2.121278265726e-03,-1.280032508362e+01,-1.279413608174e+01,-6.189001874652e-03,1.026352215482e+01
3675000000.000000,-4.508771400000e-02,4.169906771190e-02,-2.834505602743e+00,-3.388646288105e-03,-1.285678922367e+01,-1.286089492563e+01,4.105701966470e-03,9.964641977501e+00
3676000000.000000,-5.783715100000e-02,4.034636065804e-02,-2.891660228638e+00,-1.749079034196e-02,-1.292554446775e+01,-1.292765376952e+01,2.109301774201e-03,1.114445561579e+01
3677000000.000000,-3.520957700000e-02,3.891878434745e-02,-2.948791887848e+00,3.709207347454e-03,-1.299683458323e+01,-1.299441261341e+01,-2.421969819284e-03,1.096395266051e+01
3678000000.000000,-5.837924800000e-02,3.741995279129e-02,-3.005899888654e+00,-2.095929520871e-02,-1.306332156028e+01,-1.306117145730e+01,-2.150102978467e-03,9.747080024762e+00
3679000000.000000,-2.444457700000e-02,3.585371538061e-02,-3.062983541313e+00,1.140913838061e-02,-1.311932000323e+01,-1.312793030119e+01,8.610297959297e-03,1.060737026537e+01
3680000000.000000,-3.208302500000e-02,3.422413671510e-02,-3.120042161441e+00,2.141111715104e-03,-1.319661770628e+01,-1.319468914508e+01,-1.928561199319e-03,1.146084973090e+01
3681000000.000000,-3.415286600000e-02,3.253547477483e-02,3.106110233778e+00,-1.617391225171e-03,-1.326334128850e+01,-1.326144798897e+01,-1.893299537084e-03,1.042437638329e+01
3682000000.000000,-1.731971300000e-02,3.079215756876e-02,3.049103693493e+00,1.347244456876e-02,-1.332761428333e+01,-1.332820683285e+01,5.925495222687e-04,1.037038695516e+01
3683000000.000000,-2.228529200000e-02,2.899875841380e-02,2.992124172926e+00,6.713466413804e-03,-1.339365941440e+01,-1.339496567674e+01,1.306262347608e-03,1.054872965809e+01
3684000000.000000,-1.537065300000e-02,2.715997000114e-02,2.935172301387e+00,1.178931700114e-02,-1.346017352973e+01,-1.346172452063e+01,1.550990905583e-03,1.062604197112e+01
3685000000.000000,-1.859383600000e-02,2.528057742989e-02,2.878248686263e+00,6.686741429888e-03,-1.352719019597e+01,-1.352848336452e+01,1.293168552369e-03,1.079560366106e+01
3686000000.000000,-2.076172000000e-02,2.336543038797e-02,2.821353909958e+00,2.603710387967e-03,-1.359583508634e+01,-1.359524220841e+01,-5.928779275362e-04,1.090612408220e+01
3687000000.000000,-1.818571500000e-02,2.141941467544e-02,2.764488526959e+00,3.233699675436e-03,-1.366424059315e+01,-1.366200105230e+01,-2.239540853193e-03,1.077961104427e+01
3688000000.000000,-2.417122900000e-02,1.944742327175e-02,2.707653061067e+00,-4.723805728248e-03,-1.373129567380e+01,-1.372875989619e+01,-2.535777610857e-03,1.064880395062e+01
3689000000.000000,-3.120393900000e-02,1.745432715469e-02,2.650848002802e+00,-1.374961184531e-02,-1.379805741019e+01,-1.379551874008e+01,-2.538670118728e-03,1.018785515769e+01
3690000000.000000,-7.921226000000e-03,1.544494608377e-02,2.594073807018e+00,7.523720083773e-03,-1.385932003748e+01,-1.386227758396e+01,2.957546489728e-03,9.982735788751e+00
3691000000.000000,-1.091693600000e-02,1.342401956789e-02,2.537330890724e+00,2.507083567885e-03,-1.392350416786e+01,-1.392903642785e+01,5.532259992179e-03,1.060613891557e+01
3692000000.000000,-2.386192100000e-02,1.139617823414e-02,2.480619631145e+00,-1.246574276586e-02,-1.399260070988e+01,-1.399579527174e+01,3.194561866867e-03,1.149837845860e+01
3693000000.000000,-1.884031700000e-02,9.365915816440e-03,2.423940364029e+00,-9.474401183559e-03,-1.406799705304e+01,-1.406255411563e+01,-5.442937405197e-03,1.069480398302e+01
3694000000.000000,-1.828678900000e-02,7.337561990111e-03,2.367293382211e+00,-1.094922700989e-02,-1.412699558037e+01,-1.412931295952e+01,2.317379145898e-03,1.054862396218e+01
3695000000.000000,-1.083184900000e-02,5.315256258530e-03,2.310678934447e+00,-5.516592741469e-03,-1.420055497122e+01,-1.419607180341e+01,-4.483167807885e-03,1.096802685021e+01
3696000000.000000,-2.995168800000e-02,3.302923113918e-03,2.254097224525e+00,-2.664876488608e-02,-1.426482387068e+01,-1.426283064730e+01,-1.993223384511e-03,1.044122243304e+01
3697000000.000000,-7.017663000000e-03,1.304248667060e-03,2.197548410652e+00,-5.713414332940e-03,-1.433176324198e+01,-1.432958949119e+01,-2.173750790943e-03,1.028151390256e+01
3698000000.000000,5.503260000000e-03,-6.773410449686e-04,2.141032605132e+00,4.825918955030e-03,-1.439402518486e+01,-1.439634833508e+01,2.323150216863e-03,1.087445232014e+01
3699000000.000000,-6.338500000007e-04,-2.638699896999e-03,2.084549874323e+00,-3.272549897000e-03,-1.446841564006e+01,-1.446310717896e+01,-5.308461096375e-03,1.126871401318e+01
3700000000.000000,2.699951200000e-02,-4.576979473259e-03,2.028100238876e+00,2.242253252674e-02,-1.453563202150e+01,-1.452986602285e+01,-5.765998642490e-03,1.048611394617e+01
3701000000.000000,4.868181000001e-03,-6.489644669692e-03,1.971683674252e+00,-1.621463669692e-03,-1.460018803421e+01,-1.459662486674e+01,-3.563167470796e-03,1.009569367620e+01
3702000000.000000,-4.166427999999e-03,-8.374486947046e-03,1.915300111507e+00,-1.254091494705e-02,-1.466249824984e+01,-1.466338371063e+01,8.854607908599e-04,1.032283972853e+01
3703000000.000000,3.968094000001e-03,-1.022963510472e-02,1.858949438338e+00,-6.261541104719e-03,-1.472990866403e+01,-1.473014255452e+01,2.338904854806e-04,1.045680672516e+01
3704000000.000000,-1.373040800000e-02,-1.205356346048e-02,1.802631500377e+00,-2.578397146048e-02,-1.479390235859e+01,-1.479690139841e+01,2.999039817334e-03,1.093919683017e+01
