freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
4336000000.000000,-1.773346000000e-01,2.640727490789e+00,1.771332136640e-01,-3.076092277164e+00,-2.013863360379e-04,-5.698403255099e+01,-5.698849073612e+01,4.458185127618e-03,1.093045559110e+01
4337000000.000000,-1.755717600000e-01,2.627703977266e+00,1.755713393799e-01,-3.133852098490e+00,-4.206200829620e-07,-5.705481588584e+01,-5.705524958001e+01,4.336941672989e-04,1.112418977677e+01
4338000000.000000,-1.693200420000e-01,2.616447222500e+00,1.740278889547e-01,3.091582606785e+00,4.707846954724e-03,-5.712382324251e+01,-5.712200842390e+01,-1.814818614243e-03,1.064338113808e+01
4339000000.000000,-1.471073290000e-01,2.609446795094e+00,1.725058686975e-01,3.033841718890e+00,2.539853969745e-02,-5.718856455781e+01,-5.718876726779e+01,2.027099738555e-04,1.080857943058e+01
4340000000.000000,-1.787859630000e-01,2.596094164273e+00,1.710081870629e-01,2.976111050073e+00,-7.777775937080e-03,-5.725964785745e+01,-5.725552611167e+01,-4.121745776104e-03,1.039462824277e+01
4341000000.000000,-1.665324480000e-01,2.594274650097e+00,1.695376384468e-01,2.918391112990e+00,3.005190446821e-03,-5.731918730871e+01,-5.732228495556e+01,3.097646854322e-03,1.003377227882e+01
4342000000.000000,-1.731063210000e-01,2.585434688313e+00,1.680968873974e-01,2.860682424917e+00,-5.009433602564e-03,-5.738573595857e+01,-5.738904379945e+01,3.307840885711e-03,1.102038478385e+01
4343000000.000000,-1.666359590000e-01,2.571194018880e+00,1.666884533392e-01,2.802985504701e+00,5.249433915832e-05,-5.745767354822e+01,-5.745580264334e+01,-1.870904874849e-03,1.117286012019e+01
4344000000.000000,-1.648904160000e-01,2.560413942460e+00,1.653146959416e-01,2.745300869677e+00,4.242799415779e-04,-5.752613825966e+01,-5.752256148723e+01,-3.576772429469e-03,1.016061653379e+01
4345000000.000000,-1.730548940000e-01,2.558868417991e+00,1.639778012527e-01,2.687629032556e+00,-9.077092747349e-03,-5.758535562125e+01,-5.758932033112e+01,3.964709868718e-03,1.069709869294e+01
4346000000.000000,-1.775417860000e-01,2.541320607164e+00,1.626797687051e-01,2.629970498299e+00,-1.486201729493e-02,-5.766056196633e+01,-5.765607917501e+01,-4.482791325721e-03,1.111892643268e+01
4347000000.000000,-1.751784540000e-01,2.534447139138e+00,1.614223991084e-01,2.572325761022e+00,-1.375605489163e-02,-5.772508017164e+01,-5.772283801890e+01,-2.242152740529e-03,1.056868441949e+01
4348000000.000000,-1.688668350000e-01,2.523785799226e+00,1.602072837495e-01,2.514695300916e+00,-8.659551250536e-03,-5.779337197165e+01,-5.778959686278e+01,-3.775108869711e-03,1.061865726097e+01
4349000000.000000,-1.713272050000e-01,2.516255336354e+00,1.590357946858e-01,2.457079581238e+00,-1.229141031415e-02,-5.785851815420e+01,-5.785635570667e+01,-2.162447531269e-03,1.035458491003e+01
4350000000.000000,-1.682436740000e-01,2.508882503240e+00,1.579090763467e-01,2.399479045364e+00,-1.033459765330e-02,-5.792349152319e+01,-5.792311455056e+01,-3.769726294962e-04,1.055872335450e+01
