tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
84,6.442329743322436e-02,-1.146787660989562e-01,1.315354729574832e-01,-1.058960207461974e+00
85,6.734651184663629e-02,9.366509551109906e-02,1.153633510912908e-01,9.474229673119067e-01
86,-8.693462243715781e-02,2.015989229171924e-02,8.924152528674588e-02,2.913723168779226e+00
87,2.459872064580718e-03,-5.751281762000729e-02,5.756539899250526e-02,-1.528051529631236e+00
88,3.154737028973625e-02,-5.665897850435671e-03,3.205212895658111e-02,-1.777051619190584e-01
89,2.950631032641156e-02,3.027719610994899e-02,4.227683707846191e-02,7.982920719075620e-01
90,-5.631747954401052e-02,4.382815928793730e-02,7.136221723544503e-02,2.480265486067962e+00
91,-3.032020760182459e-02,-9.274390072480466e-02,9.757431071070995e-02,-1.886767438550626e+00
92,1.149258846507918e-01,1.061152116550734e-02,1.154147449168134e-01,9.207254194348163e-02
93,-6.074861528249473e-02,1.067569159696065e-01,1.228309137232243e-01,2.088137565929190e+00
94,-7.053695455383659e-02,-9.636940528704671e-02,1.194258105817544e-01,-2.202640733837231e+00
95,1.033386299544653e-01,-2.451402455263050e-02,1.062064491480291e-01,-2.329150528206820e-01
96,-9.529883417451035e-03,8.508855106133321e-02,8.562055944495643e-02,1.682331112736777e+00
97,-5.887287741749626e-02,-1.996847474171543e-02,6.216715916724898e-02,-2.814589784692318e+00
98,1.140852193535804e-02,-4.360974917886896e-02,4.507731797915009e-02,-1.314925624198641e+00
99,4.784594770674787e-02,-1.023307286982730e-04,4.784605713676821e-02,-2.138751087060252e-03
100,-1.362863575054173e-03,6.559045976160263e-02,6.560461728310457e-02,1.591571718460820e+00
101,-8.192591946354069e-02,-2.146410249080738e-02,8.469099111288307e-02,-2.885357727092499e+00
102,5.334947097026559e-02,-8.365095268320315e-02,9.921515981751328e-02,-1.003071821144469e+00
103,6.729511375554977e-02,8.387461051898351e-02,1.075340998245838e-01,8.946362849152121e-01
104,-1.030124832234997e-01,3.939138336154242e-02,1.102871378856475e-01,2.776355146524427e+00
105,-9.793201134588148e-03,-1.094623683746665e-01,1.098995763351874e-01,-1.660025136972413e+00
106,1.088110752989924e-01,1.624796897040887e-02,1.100174831714776e-01,1.482275344930100e-01
107,-4.102303374179343e-02,1.063871577621146e-01,1.140224391691450e-01,1.938828801815980e+00
108,-1.009127823488982e-01,-7.019989655955201e-02,1.229284959574789e-01,-2.533792659893815e+00
109,1.050383230951257e-01,-8.436577871575671e-02,1.347242885932304e-01,-6.766833173501281e-01
