subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_plan_b_equalized_i,after_plan_b_equalized_q,after_plan_b_fixed_equalized_i,after_plan_b_fixed_equalized_q,plan_b_abs,plan_b_phase_rad,plan_b_fixed_abs,plan_b_fixed_phase_rad
55,19443,3560119628.906250,-3.904253304380e+01,-2.732977313066e+02,-3.126409456917e+01,-2.830444844393e+02,-3.958795395237e+01,-2.731513341666e+02,-3.960851611870e+01,-2.731381346477e+02,9.785630825361e-01,-2.485704292880,9.785239331015e-01,-2.485758762081
56,19444,3560302734.375000,2.732977313066e+02,-3.904253304380e+01,2.830176548659e+02,-3.106814638885e+01,2.731544786355e+02,-3.941808129294e+01,2.731410876936e+02,-3.943838544655e+01,9.786532716896e-01,-2.496296203619,9.786132651473e-01,-2.496349814660
57,19445,3560485839.843750,-1.171275991314e+02,-1.171275991314e+02,-1.166953276185e+02,-1.247215216057e+02,-1.171758916811e+02,-1.169862262040e+02,-1.171806248897e+02,-1.169724897247e+02,9.787435619147e-01,-2.506888383963,9.787027005847e-01,-2.506941140152
58,19446,3560668945.312500,-3.904253304380e+01,3.904253304380e+01,-4.159300612972e+01,3.886385488553e+01,-3.901624487896e+01,3.903183273152e+01,-3.901166616137e+01,3.903334669532e+01,9.788339503051e-01,-2.517480827285,9.787922365369e-01,-2.517532732040
59,19447,3560852050.781250,-1.952126652190e+02,1.171275991314e+02,-2.052778350380e+02,1.137048922706e+02,-1.951532582768e+02,1.169830909988e+02,-1.951363938160e+02,1.169934714836e+02,9.789244339310e-01,-2.528073526994,9.788818701029e-01,-2.528124583842
60,19448,3561035156.250000,-1.171275991314e+02,-1.952126652190e+02,-1.135751163561e+02,-2.052962285995e+02,-1.168812417109e+02,-1.951859638624e+02,-1.168913663661e+02,-1.951690345981e+02,9.790150098373e-01,-2.538666476537,9.789715983553e-01,-2.538716689115
61,19449,3561218261.718750,-2.732977313066e+02,2.732977313066e+02,-2.912418257116e+02,2.715441485052e+02,-2.732417915147e+02,2.728667627654e+02,-2.732097350973e+02,2.728759999247e+02,9.791056750473e-01,-2.549259669404,9.790614183437e-01,-2.549309041457
62,19450,3561401367.187500,-1.952126652190e+02,2.732977313066e+02,-2.107428478182e+02,2.742932459244e+02,-1.951310690290e+02,2.728919872937e+02,-1.951023355466e+02,2.728949254582e+02,9.791964265618e-01,-2.559853099124,9.791513270948e-01,-2.559901634507
63,19451,3561584472.656250,-1.952126652190e+02,-1.952126652190e+02,-1.938822071586e+02,-2.078486048144e+02,-1.948846163540e+02,-1.950106135149e+02,-1.948905502254e+02,-1.949877100934e+02,9.792872613602e-01,-2.570446759272,9.792413216123e-01,-2.570494461944
64,19452,3561767578.125000,-3.904253304380e+01,1.952126652190e+02,-4.711750054241e+01,1.994091328771e+02,-3.900789410928e+01,1.948965371495e+02,-3.899190853455e+01,1.948907369116e+02,9.793781764008e-01,-2.581040643465,9.793313988784e-01,-2.581087517494
