subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1311,20699,3790100097.656250,-1.952126652190e+02,1.952126652190e+02,-1.677843994125e+02,2.233678306920e+02,-1.979136109509e+02,2.037515426994e+02,1.000000000000e+00,2.171010895425
1312,20700,3790283203.125000,2.732977313066e+02,3.904253304380e+01,2.792552806368e+02,3.922878399732e-01,2.730845789787e+02,4.583145803731e+01,1.000000000000e+00,2.164751922132
1313,20701,3790466308.593750,-1.952126652190e+02,-3.904253304380e+01,-2.009616894468e+02,-1.158170036348e+01,-1.982542154038e+02,-3.240809244366e+01,1.000000000000e+00,2.158492302679
1314,20702,3790649414.062500,2.732977313066e+02,-3.904253304380e+01,2.680878546056e+02,-7.739772367613e+01,2.727794224467e+02,-3.220280957452e+01,1.000000000000e+00,2.152232038318
1315,20703,3790832519.531250,2.732977313066e+02,-2.732977313066e+02,2.353591811864e+02,-3.116006745498e+02,2.731039333291e+02,-2.673300095082e+02,1.000000000000e+00,2.145971130324
1316,20704,3791015625.000000,1.171275991314e+02,-1.952126652190e+02,9.005655647201e+01,-2.115644904406e+02,1.161195537515e+02,-1.890200826481e+02,1.000000000000e+00,2.139709579987
1317,20705,3791198730.468750,1.952126652190e+02,2.732977313066e+02,2.336078179514e+02,2.461340499097e+02,1.935357389136e+02,2.817380428008e+02,1.000000000000e+00,2.133447388619
1318,20706,3791381835.937500,-1.171275991314e+02,-3.904253304380e+01,-1.227385643411e+02,-2.254319851315e+01,-1.198336549115e+02,-3.268090723520e+01,1.000000000000e+00,2.127184557548
1319,20707,3791564941.406250,2.732977313066e+02,-3.904253304380e+01,2.680368368659e+02,-7.796569835647e+01,2.726734200289e+02,-3.246489914434e+01,1.000000000000e+00,2.120921088120
1320,20708,3791748046.875000,2.732977313066e+02,-3.904253304380e+01,2.680530096019e+02,-7.827935992385e+01,2.727072838390e+02,-3.271162868237e+01,1.000000000000e+00,2.114656981700
1321,20709,3791931152.343750,-1.952126652190e+02,-3.904253304380e+01,-2.011491709511e+02,-1.089317968017e+01,-1.987497984825e+02,-3.245270173193e+01,1.000000000000e+00,2.108392239669
1322,20710,3792114257.812500,3.904253304380e+01,-2.732977313066e+02,-4.353608268882e-01,-2.793491435644e+02,3.674540726794e+01,-2.684688506607e+02,1.000000000000e+00,2.102126863426
1323,20711,3792297363.281250,-2.732977313066e+02,1.171275991314e+02,-2.567555042934e+02,1.567006862646e+02,-2.772684176850e+02,1.244822564373e+02,1.000000000000e+00,2.095860854388
1324,20712,3792480468.750000,-1.171275991314e+02,2.732977313066e+02,-7.794887622180e+01,2.904463206258e+02,-1.203058897893e+02,2.813960239482e+02,1.000000000000e+00,2.089594213986
1325,20713,3792663574.218750,3.904253304380e+01,3.904253304380e+01,4.467770045381e+01,3.347922637589e+01,3.681493207807e+01,4.582849526088e+01,1.000000000000e+00,2.083326943670
1326,20714,3792846679.687500,-3.904253304380e+01,-1.171275991314e+02,-5.582027161669e+01,-1.116306337239e+02,-4.147563239757e+01,-1.113359784105e+02,1.000000000000e+00,2.077059044905
1327,20715,3793029785.156250,2.732977313066e+02,3.904253304380e+01,2.790165617476e+02,8.756235899322e-02,2.721321311124e+02,4.639529979773e+01,1.000000000000e+00,2.070790519171
1328,20716,3793212890.625000,-1.952126652190e+02,-1.171275991314e+02,-2.119662253717e+02,-8.937410219104e+01,-1.983388578941e+02,-1.118532116008e+02,1.000000000000e+00,2.064521367966
1329,20717,3793395996.093750,1.952126652190e+02,-2.732977313066e+02,1.563955503442e+02,-3.011120377451e+02,1.945491281954e+02,-2.675012810637e+02,1.000000000000e+00,2.058251592801
1330,20718,3793579101.562500,1.171275991314e+02,1.171275991314e+02,1.337611254570e+02,1.005042080162e+02,1.146112374349e+02,1.245136555681e+02,1.000000000000e+00,2.051981195202
1331,20719,3793762207.031250,1.171275991314e+02,1.171275991314e+02,1.337160428302e+02,1.005095959830e+02,1.144949777242e+02,1.245205623333e+02,1.000000000000e+00,2.045710176711
1332,20720,3793945312.500000,-1.952126652190e+02,3.904253304380e+01,-1.896289544807e+02,6.666098555214e+01,-1.988702915295e+02,4.456268906423e+01,1.000000000000e+00,2.039438538885
1333,20721,3794128417.968750,-3.904253304380e+01,1.952126652190e+02,-1.133335199661e+01,2.006891795222e+02,-4.285732593682e+01,2.021369981562e+02,1.000000000000e+00,2.033166283294
1334,20722,3794311523.437500,-1.171275991314e+02,3.904253304380e+01,-1.115320714716e+02,5.571704516605e+01,-1.205341683402e+02,4.493534642099e+01,1.000000000000e+00,2.026893411521
1335,20723,3794494628.906250,1.171275991314e+02,1.171275991314e+02,1.338514890270e+02,1.003445332368e+02,1.143713364829e+02,1.244079879349e+02,1.000000000000e+00,2.020619925164
1336,20724,3794677734.375000,-1.171275991314e+02,3.904253304380e+01,-1.114949305753e+02,5.585525188501e+01,-1.206085666571e+02,4.494903324531e+01,1.000000000000e+00,2.014345825835
1337,20725,3794860839.843750,-3.904253304380e+01,2.732977313066e+02,3.724042927612e-01,2.788769711428e+02,-4.311155754218e+01,2.806032971754e+02,1.000000000000e+00,2.008071115157
1338,20726,3795043945.312500,1.952126652190e+02,1.952126652190e+02,2.234164638494e+02,1.669116538109e+02,1.925507069087e+02,2.029984245541e+02,1.000000000000e+00,2.001795794768
1339,20727,3795227050.781250,-1.171275991314e+02,1.952126652190e+02,-8.872646447776e+01,2.120876315257e+02,-1.212136237851e+02,2.017781124351e+02,1.000000000000e+00,1.995519866316
1340,20728,3795410156.250000,1.952126652190e+02,-2.732977313066e+02,1.552525269838e+02,-3.014281592766e+02,1.940088549188e+02,-2.676321256386e+02,1.000000000000e+00,1.989243331463
1341,20729,3795593261.718750,2.732977313066e+02,-1.952126652190e+02,2.444428723115e+02,-2.348149933742e+02,2.719987840297e+02,-1.889716366131e+02,1.000000000000e+00,1.982966191883
1342,20730,3795776367.187500,-2.732977313066e+02,-1.171275991314e+02,-2.899520544470e+02,-7.694621015733e+01,-2.768446781715e+02,-1.123359909158e+02,1.000000000000e+00,1.976688449261
1343,20731,3795959472.656250,-3.904253304380e+01,2.732977313066e+02,1.122384165744e+00,2.784426452788e+02,-4.299597001158e+01,2.800411487424e+02,1.000000000000e+00,1.970410105293
1344,20732,3796142578.125000,-1.171275991314e+02,1.171275991314e+02,-9.955759441893e+01,1.341691534035e+02,-1.207969675303e+02,1.232227269346e+02,1.000000000000e+00,1.964131161685
1345,20733,3796325683.593750,1.952126652190e+02,3.904253304380e+01,2.005793679478e+02,9.856918872438e+00,1.927227679549e+02,4.536443665436e+01,1.000000000000e+00,1.957851620158
1346,20734,3796508789.062500,-1.171275991314e+02,3.904253304380e+01,-1.109793730750e+02,5.655802430329e+01,-1.206406831585e+02,4.507559120051e+01,1.000000000000e+00,1.951571482438
1347,20735,3796691894.531250,-1.952126652190e+02,1.171275991314e+02,-1.769757490109e+02,1.464408630716e+02,-1.989482049017e+02,1.235842118962e+02,1.000000000000e+00,1.945290750264
