freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
3571105957.031250,1.321727577524e-01,-2.808607974227e+00,2.753845848498e-01,1.494248319191e-01,-1.429474313062e+00,1.433116336602e+00
3571289062.500000,1.353611995866e-01,-2.808430916966e+00,-1.538978516037e-01,1.539064066530e-01,-1.430179177809e+00,8.260255185958e-01
3571472167.968750,1.385484714276e-01,-2.808253859706e+00,-1.538978516037e-01,1.556284379441e-01,-1.431374973976e+00,9.837733500372e-01
3571655273.437500,1.417345741339e-01,-2.808076802445e+00,-1.538978516041e-01,1.577479672048e-01,-1.432442811937e+00,1.185249323303e+00
3571838378.906250,1.449195085628e-01,-2.807899745184e+00,-1.196773181248e-02,1.643783589180e-01,-1.434102198512e+00,1.057517088687e+00
3572021484.375000,1.472084051520e-01,-2.808049265039e+00,1.197663970969e+00,1.641714557702e-01,-1.434876128282e+00,2.167134850844e+00
3572204589.843750,1.427636502454e-01,-2.810655535467e+00,2.265365553955e+00,1.600569517635e-01,-1.439088713351e+00,3.458378298704e+00
3572387695.312500,1.383166196984e-01,-2.813261805895e+00,2.265365553955e+00,1.526160427090e-01,-1.442833757083e+00,3.245116913175e+00
3572570800.781250,1.338673111796e-01,-2.815868076323e+00,2.265365553958e+00,1.525987163217e-01,-1.446555633850e+00,3.644814702320e+00
3572753906.250000,1.294157223542e-01,-2.818474346751e+00,2.265365553955e+00,1.515814093634e-01,-1.451220370677e+00,3.541522535949e+00
3572937011.718750,1.249618508834e-01,-2.821080617179e+00,2.090925996292e+00,1.445950101376e-01,-1.454704575145e+00,3.063723788111e+00
3573120117.187500,1.249270523356e-01,-2.823285507212e+00,1.825012036445e+00,1.439475506540e-01,-1.458269910822e+00,2.874157436608e+00
3573303222.656250,1.272098806633e-01,-2.825279917281e+00,1.733537634258e+00,1.504683579979e-01,-1.461317928579e+00,2.792128775272e+00
3573486328.125000,1.294921091751e-01,-2.827274327351e+00,1.733537634255e+00,1.495530387695e-01,-1.464694518670e+00,2.821586560774e+00
3573669433.593750,1.317737381859e-01,-2.829268737420e+00,1.733537634255e+00,1.516764487752e-01,-1.467810317942e+00,2.887207109045e+00
3573852539.062500,1.340547680107e-01,-2.831263147490e+00,1.659569467068e+00,1.558581558029e-01,-1.471337899024e+00,1.669938302570e+00
3574035644.531250,1.358006480975e-01,-2.833087358938e+00,1.279596005471e+00,1.722086456823e-01,-1.471652797852e+00,2.201767266777e+00
3574218750.000000,1.353348425816e-01,-2.834207461023e+00,9.735907110675e-01,1.560963862466e-01,-1.476404102054e+00,3.270043027535e+00
3574401855.468750,1.348690120842e-01,-2.835327563107e+00,9.735907110707e-01,1.571218973452e-01,-1.479177072621e+00,2.112566524169e+00
3574584960.937500,1.344031566026e-01,-2.836447665192e+00,9.735907110707e-01,1.588624217853e-01,-1.481265056746e+00,2.565406742879e+00
3574768066.406250,1.339372761342e-01,-2.837567767276e+00,9.735907110709e-01,1.518147101007e-01,-1.485079999606e+00,2.189849328295e+00
3574951171.875000,1.334713706762e-01,-2.838687869361e+00,1.386097655554e+00,1.537119026629e-01,-1.486303836943e+00,1.870020304436e+00
3575134277.343750,1.317378856658e-01,-2.840757138037e+00,1.948607125308e+00,1.513127632244e-01,-1.489382862436e+00,2.972645819741e+00
