tap,h1_real,h1_imag,h1_abs,h1_phase_rad,h3_real,h3_imag,h3_abs,h3_phase_rad
29,4.017537338499435e+01,3.611874679021439e+01,5.402429542640362e+01,7.322772915930412e-01,1.882182974270769e+00,-8.462270895425719e-01,2.063664952387002e+00,-4.225201860523340e-01
30,-5.608093646315480e+01,2.038474328897329e+01,5.967084039580595e+01,2.792952758017484e+00,-2.514429075691058e-01,2.103010522474785e+00,2.117988855826789e+00,1.689794743671686e+00
31,7.687989474829773e+00,-5.374577759500552e+01,5.429285212122210e+01,-1.428716549640098e+00,-4.600580374064295e-01,-3.221834199102300e-01,5.616543010138062e-01,-2.530658409518934e+00
32,3.218087773302248e+01,2.285215358871259e+01,3.946935286155388e+01,6.174829566906951e-01,-1.403449253994130e+00,4.910288041328245e-01,1.486868889655302e+00,2.805031103870390e+00
33,-1.561550913086662e+01,9.904483113885929e+00,1.849169843928432e+01,2.576353466940859e+00,4.576396183952841e-01,-2.451252600216386e+00,2.493606490686246e+00,-1.386224962188177e+00
34,-4.871450810700435e+00,4.698300974068776e+00,6.767943930324005e+00,2.374285967314947e+00,1.266622812252975e+00,1.058199442163741e+00,1.650490656718567e+00,6.959858842280245e-01
35,-1.857288055716650e+01,-1.980431132676290e+01,2.715073920389872e+01,-2.324117927575903e+00,5.020067168954572e-01,-7.587719866046354e-02,5.077086694992662e-01,-1.500122772144508e-01
36,4.071647869367125e+01,-1.282867506127672e+01,4.268965379386448e+01,-3.052275010837119e-01,-6.113771792449809e-01,2.310981573996771e+00,2.390484865179896e+00,1.829424370565504e+00
37,-8.836649316823767e+00,4.918851243804746e+01,4.997595548877952e+01,1.748548910073230e+00,-1.836040678116241e+00,-1.759899845241730e+00,2.543283868737308e+00,-2.377365434587587e+00
38,-3.773278231227629e+01,-2.962033047353063e+01,4.797006189684143e+01,-2.476063629823267e+00,6.848153356031086e-01,-2.862870038494946e-01,7.422481340160572e-01,-3.959691801070323e-01
39,3.399432201963420e+01,-1.552867920089650e+01,3.737316961804206e+01,-4.284961728208674e-01,6.015059086128639e-01,-1.669425208882793e+00,1.774482991225766e+00,-1.224968825595773e+00
40,2.139252258216260e-01,2.047757387150106e+01,2.047869125859916e+01,1.560349901579799e+00,2.058050826547789e+00,2.256208916625394e+00,3.053858523264294e+00,8.312968643827832e-01
41,-2.359384156608384e+00,2.983635458471885e+00,3.803784187819466e+00,2.239886866542462e+00,-1.942685546918279e+00,5.151995878035383e-01,2.009840229838708e+00,2.882360353574571e+00
42,-1.951042453339588e+01,3.846595553954637e+00,1.988599916597201e+01,2.946933282876230e+00,-3.810379524204832e-01,6.322746236782115e-01,7.382148203146686e-01,2.113159352642775e+00
43,7.704139956010259e+00,-3.403603253582948e+01,3.489706697190806e+01,-1.348194959655542e+00,-1.934317275035811e+00,-2.413916989806686e+00,3.093311907030931e+00,-2.246340951041123e+00
44,3.293844998595377e+01,2.755536059420211e+01,4.294460833391875e+01,6.966461430557238e-01,3.073772144120204e+00,-5.849574813278374e-01,3.128937591089142e+00,-1.880573309096142e-01
45,-3.928937505776944e+01,1.621125412351012e+01,4.250246760703547e+01,2.750261658097558e+00,-3.360893611807664e-02,5.991375650412298e-01,6.000794800945312e-01,1.626833123657307e+00
46,2.740139694091843e+00,-3.362412402055198e+01,3.373559072689551e+01,-1.489482748070365e+00,1.550013280112651e+00,2.225899696542052e+00,2.712410482871570e+00,9.625218013386240e-01
47,1.630082591660281e+01,8.746965769833293e+00,1.849936041440420e+01,4.924943935225645e-01,-3.956064584806919e+00,5.251156031644567e-01,3.990763510388747e+00,3.009627218573961e+00
48,2.012870799423040e+00,3.024379803537085e+00,3.632977023215666e+00,9.835683853553320e-01,5.835682963175257e-01,-1.831975176172517e+00,1.922676520525297e+00,-1.262412912662483e+00
49,-5.748836773399709e+00,1.869446698177809e+01,1.955843091814842e+01,1.869133656545838e+00,-1.064248404668367e+00,-1.827897900137640e+00,2.115144297717477e+00,-2.098043657927327e+00
50,-2.529788430890118e+01,-2.209044390459591e+01,3.358527448761804e+01,-2.423775601896820e+00,4.653426486787287e+00,-3.995931743231861e-01,4.670551656164307e+00,-8.566060447012198e-02
51,3.724786888599868e+01,-1.495804189810633e+01,4.013909259031714e+01,-3.818686909750368e-01,-1.170518280501724e+00,2.928696538152014e+00,3.153946172269322e+00,1.951019995071273e+00
52,-3.514768790034820e+00,3.717679540132961e+01,3.734257243361423e+01,1.665058155031055e+00,7.159644643313188e-01,1.516598629932260e+00,1.677103609947114e+00,1.129728514951503e+00
53,-2.168324500723669e+01,-1.315863232200147e+01,2.536361012611329e+01,-2.596146378961835e+00,-5.476487263505894e+00,2.668971730796722e-01,5.482987037039226e+00,3.092896079042889e+00
54,4.467852494260094e+00,-5.406002079249522e+00,7.013313367540075e+00,-8.801272990065283e-01,1.672588132875497e+00,-3.743679384576917e+00,4.100327596271076e+00,-1.150626261391984e+00
55,4.669695602215880e+00,-1.480287225025148e+01,1.552195489861440e+01,-1.265218215989531e+00,-8.839068447232311e-01,-1.939582849659632e+00,2.131495470518846e+00,-1.998396877142173e+00
56,2.577120874248358e+01,2.116406589617620e+01,3.334775682570494e+01,6.875521234071931e-01,6.993245620123301e+00,-1.830979216983331e-01,6.995642154391831e+00,-2.617612919559084e-02
