freq_hz,after_h1_error_percent,after_float_plan_c_error_percent
3584838867.187500,4.941762892444e+00,9.507239213615e-01
3585021972.656250,4.882304024223e+00,9.381113931385e-01
3585205078.125000,4.806185747903e+00,8.949035834773e-01
3585388183.593750,4.730424375257e+00,9.686071938218e-01
3585571289.062500,4.655037739480e+00,9.215569869439e-01
3585754394.531250,4.580044757575e+00,9.336002010066e-01
3585937500.000000,4.505465504875e+00,9.622177530408e-01
3586120605.468750,4.551389369645e+00,9.254604536089e-01
3586303710.937500,4.659856969705e+00,9.276712359007e-01
3586486816.406250,4.768604518833e+00,9.025171023572e-01
3586669921.875000,4.877614323685e+00,9.102759549401e-01
3586853027.343750,4.986870191423e+00,9.285110303663e-01
3587036132.812500,5.048472329444e+00,1.093672382833e+00
3587219238.281250,4.915449305157e+00,8.533239766194e-01
3587402343.750000,4.782530006074e+00,7.119003925005e-01
3587585449.218750,4.649717967494e+00,6.758543375959e-01
3587768554.687500,4.517017128913e+00,7.346575036046e-01
3587951660.156250,4.384431894251e+00,5.788329421947e-01
3588134765.625000,4.399856766707e+00,5.703778257010e-01
3588317871.093750,4.468358317318e+00,5.191435737559e-01
3588500976.562500,4.536874979670e+00,5.547564619496e-01
3588684082.031250,4.605406738123e+00,6.033034454939e-01
3588867187.500000,4.673953577465e+00,5.533500356547e-01
3589050292.968750,4.714065134884e+00,5.948326172840e-01
3589233398.437500,4.679072445594e+00,5.864139897193e-01
3589416503.906250,4.644113750919e+00,5.134841855640e-01
3589599609.375000,4.609189808275e+00,4.518032366074e-01
3589782714.843750,4.574301397391e+00,5.117896817165e-01
3589965820.312500,4.539449321099e+00,5.281531243244e-01
3590148925.781250,4.533143997235e+00,4.654635165833e-01
3590332031.250000,4.533749961221e+00,4.093436077673e-01
3590515136.718750,4.534757824478e+00,3.420284474693e-01
3590698242.187500,4.536167232563e+00,3.231214537518e-01
3590881347.656250,4.537977724813e+00,2.664766454234e-01
3591064453.125000,4.547217479812e+00,2.446768563757e-01
3591247558.593750,4.569552199533e+00,2.578467191544e-01
3591430664.062500,4.591924967642e+00,2.311935841942e-01
3591613769.531250,4.614335209699e+00,2.306564127791e-01
3591796875.000000,4.636782361439e+00,2.075244505000e-01
3591979980.468750,4.659265868578e+00,2.584099632360e-01
3592163085.937500,4.644467369017e+00,2.253656003311e-01
3592346191.406250,4.625114847893e+00,2.086082735741e-01
3592529296.875000,4.605789031863e+00,1.078902783713e-01
3592712402.343750,4.586490237187e+00,1.918537473173e-01
3592895507.812500,4.567218784990e+00,1.678418528291e-01
3593078613.281250,4.587653645603e+00,2.016343883175e-01
3593261718.750000,4.660967390318e+00,2.868313774044e-01
3593444824.218750,4.734456557670e+00,3.424454410100e-01
3593627929.687500,4.808112921719e+00,4.423892268177e-01
3593811035.156250,4.881928734429e+00,5.192997410344e-01
3593994140.625000,4.955896692715e+00,6.209776081903e-01
3594177246.093750,4.987142368062e+00,6.671141169780e-01
3594360351.562500,5.017036919491e+00,7.227311492676e-01
3594543457.031250,5.046995003868e+00,7.251923751316e-01
3594726562.500000,5.077015433920e+00,8.060428083958e-01
3594909667.968750,5.107097047954e+00,7.843109306508e-01
3595092773.437500,5.166103072508e+00,8.666700559041e-01
3595275878.906250,5.253304111674e+00,9.546212752432e-01
3595458984.375000,5.340601393330e+00,1.022663081976e+00
3595642089.843750,5.427990319822e+00,1.192765101073e+00
3595825195.312500,5.515466578985e+00,1.234661942530e+00
3596008300.781250,5.592804515965e+00,1.372848273317e+00
3596191406.250000,5.455015608227e+00,1.240018858929e+00
3596374511.718750,5.317406899928e+00,1.080875213089e+00
3596557617.187500,5.179992238456e+00,9.498577201156e-01
3596740722.656250,5.042786951429e+00,8.110502081872e-01
3596923828.125000,4.905808047691e+00,7.017984180406e-01
3597106933.593750,4.886861784424e+00,6.301453874857e-01
3597290039.062500,4.951889291798e+00,7.637264099806e-01
3597473144.531250,5.016938304337e+00,8.370392553358e-01
3597656250.000000,5.082008224566e+00,8.833758504846e-01
3597839355.468750,5.147098484619e+00,9.302291213546e-01
3598022460.937500,5.207910817790e+00,1.111202915193e+00
3598205566.406250,5.238024630187e+00,1.053383532329e+00
3598388671.875000,5.268193094459e+00,1.040527975849e+00
3598571777.343750,5.298415350913e+00,1.071492273718e+00
3598754882.812500,5.328690557708e+00,1.075210521476e+00
3598937988.281250,5.359017890431e+00,1.143153796231e+00
3599121093.750000,5.280837806417e+00,1.037192567858e+00
3599304199.218750,5.147110686790e+00,9.022392634474e-01
3599487304.687500,5.013428083868e+00,9.220800021904e-01
3599670410.156250,4.879790089510e+00,7.744041059347e-01
3599853515.625000,4.746196798942e+00,6.674659063188e-01
3600036621.093750,4.691421510196e+00,6.731505317641e-01
3600219726.562500,4.952414701387e+00,8.714824943807e-01
3600402832.031250,5.214384515194e+00,1.105369987897e+00
