subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_plan_c_equalized_i,after_float_plan_c_equalized_q
2932,22320,4086914062.500000,1.952126652190e+02,-2.732977313066e+02,2.259188369073e+02,-2.592397296395e+02,1.881462687010e+02,-2.730094051146e+02
2933,22321,4087097167.968750,2.732977313066e+02,2.732977313066e+02,2.514755307804e+02,3.053989915386e+02,2.738537487900e+02,2.649506714410e+02
2934,22322,4087280273.437500,3.904253304380e+01,-1.171275991314e+02,5.121476104587e+01,-1.154681111631e+02,3.685739059269e+01,-1.163045674258e+02
2935,22323,4087463378.906250,-3.904253304380e+01,-2.732977313066e+02,-1.326194112492e+01,-2.820128529615e+02,-4.331201196342e+01,-2.689785150390e+02
2936,22324,4087646484.375000,1.952126652190e+02,-3.904253304380e+01,2.024102699991e+02,-2.098423744831e+01,1.920002825626e+02,-4.193187238180e+01
2937,22325,4087829589.843750,-1.952126652190e+02,-1.171275991314e+02,-1.874392386524e+02,-1.377296343102e+02,-1.945676109106e+02,-1.119207127374e+02
2938,22326,4088012695.312500,3.904253304380e+01,-2.732977313066e+02,6.547207518467e+01,-2.742382074362e+02,3.373022206803e+01,-2.699408909275e+02
2939,22327,4088195800.781250,-1.171275991314e+02,1.171275991314e+02,-1.300149542784e+02,1.081585756621e+02,-1.135722883767e+02,1.177440118969e+02
2940,22328,4088378906.250000,1.952126652190e+02,-1.952126652190e+02,2.164624936440e+02,-1.804209925025e+02,1.887310639985e+02,-1.960984112859e+02
2941,22329,4088562011.718750,-1.952126652190e+02,1.171275991314e+02,-2.091021195641e+02,1.012152770932e+02,-1.901554865202e+02,1.192105763842e+02
2942,22330,4088745117.187500,3.904253304380e+01,-1.171275991314e+02,5.025488225776e+01,-1.154942287058e+02,3.611353951100e+01,-1.164338823559e+02
2943,22331,4088928222.656250,-3.904253304380e+01,-1.952126652190e+02,-2.222383868451e+01,-2.018205373302e+02,-4.207707877460e+01,-1.911918015078e+02
2944,22332,4089111328.125000,-1.952126652190e+02,3.904253304380e+01,-2.018269734662e+02,2.225706947725e+01,-1.915484913764e+02,4.295802857966e+01
2945,22333,4089294433.593750,-1.952126652190e+02,1.952126652190e+02,-2.158745805636e+02,1.809035297305e+02,-1.886264887616e+02,1.967994413995e+02
2946,22334,4089477539.062500,2.732977313066e+02,-1.952126652190e+02,2.953661045164e+02,-1.738505538545e+02,2.657706554341e+02,-1.977359637381e+02
2947,22335,4089660644.531250,-1.952126652190e+02,1.952126652190e+02,-2.161108504844e+02,1.808449038005e+02,-1.891804202359e+02,1.960361047331e+02
2948,22336,4089843750.000000,-1.171275991314e+02,-2.732977313066e+02,-9.432390251278e+01,-2.885551942626e+02,-1.205903724905e+02,-2.673979942835e+02
2949,22337,4090026855.468750,1.171275991314e+02,-1.952126652190e+02,1.369059942651e+02,-1.878978098663e+02,1.125864390497e+02,-1.945821633921e+02
2950,22338,4090209960.937500,-1.171275991314e+02,-3.904253304380e+01,-1.155804750002e+02,-5.037514911206e+01,-1.162894981360e+02,-3.645293283941e+01
2951,22339,4090393066.406250,-2.732977313066e+02,-1.952126652190e+02,-2.602045103520e+02,-2.234415661044e+02,-2.731462692975e+02,-1.889887280616e+02
2952,22340,4090576171.875000,-1.171275991314e+02,-1.952126652190e+02,-1.013557883890e+02,-2.092215251873e+02,-1.185057091890e+02,-1.913082605368e+02
2953,22341,4090759277.343750,2.732977313066e+02,2.732977313066e+02,2.530834174423e+02,3.028665927088e+02,2.748833606182e+02,2.661539109133e+02
2954,22342,4090942382.812500,1.952126652190e+02,2.732977313066e+02,1.736570477996e+02,2.957549178658e+02,1.972505617790e+02,2.677016701371e+02
2955,22343,4091125488.281250,1.952126652190e+02,-1.952126652190e+02,2.162446980205e+02,-1.809374298065e+02,1.903016320220e+02,-1.962753352190e+02
2956,22344,4091308593.750000,-1.952126652190e+02,1.952126652190e+02,-2.161136094766e+02,1.811836460718e+02,-1.899672265746e+02,1.962495085811e+02
2957,22345,4091491699.218750,-1.952126652190e+02,-1.171275991314e+02,-1.883402718078e+02,-1.364998418727e+02,-1.953211438802e+02,-1.126486494617e+02
2958,22346,4091674804.687500,1.171275991314e+02,-1.952126652190e+02,1.363453230647e+02,-1.885107823825e+02,1.129180515111e+02,-1.959991481570e+02
2959,22347,4091857910.156250,3.904253304380e+01,-3.904253304380e+01,4.314373990514e+01,-3.638435758500e+01,3.798071118508e+01,-3.939453787004e+01
2960,22348,4092041015.625000,3.904253304380e+01,3.904253304380e+01,3.641806993640e+01,4.311157896534e+01,3.967391043340e+01,3.825422877786e+01
2961,22349,4092224121.093750,2.732977313066e+02,3.904253304380e+01,2.747714882485e+02,6.304374548748e+01,2.716453178352e+02,3.396131887367e+01
2962,22350,4092407226.562500,-1.952126652190e+02,-1.952126652190e+02,-1.818913868574e+02,-2.150379715262e+02,-1.969809471910e+02,-1.900292347221e+02
2963,22351,4092590332.031250,2.732977313066e+02,-1.952126652190e+02,2.940921058263e+02,-1.751943881667e+02,2.667351210628e+02,-1.981759090287e+02
2964,22352,4092773437.500000,2.732977313066e+02,-3.904253304380e+01,2.806298137203e+02,-1.664241961800e+01,2.702320036351e+02,-4.325477439209e+01
2965,22353,4092956542.968750,1.952126652190e+02,1.952126652190e+02,1.815918175379e+02,2.142587448379e+02,1.961589301259e+02,1.893742254641e+02
2966,22354,4093139648.437500,-1.952126652190e+02,-3.904253304380e+01,-1.946805317765e+02,-5.600869669587e+01,-1.935455041249e+02,-3.545271262905e+01
2967,22355,4093322753.906250,-1.952126652190e+02,-1.171275991314e+02,-1.881405843332e+02,-1.353910589194e+02,-1.948863561390e+02,-1.129543341507e+02
2968,22356,4093505859.375000,3.904253304380e+01,1.171275991314e+02,2.962587129564e+01,1.222421880140e+02,4.041935491852e+01,1.154789221762e+02
2969,22357,4093688964.843750,3.904253304380e+01,1.171275991314e+02,2.956706872943e+01,1.223325315427e+02,3.998756024036e+01,1.152911631659e+02
2970,22358,4093872070.312500,2.732977313066e+02,1.952126652190e+02,2.607945219047e+02,2.221172041952e+02,2.738371929385e+02,1.900422849903e+02
2971,22359,4094055175.781250,-1.952126652190e+02,2.732977313066e+02,-2.222928916785e+02,2.608483054992e+02,-1.908952502942e+02,2.738741581287e+02
2972,22360,4094238281.250000,-1.171275991314e+02,3.904253304380e+01,-1.224892556911e+02,2.954994853436e+01,-1.159070450996e+02,4.028875361531e+01
2973,22361,4094421386.718750,3.904253304380e+01,1.952126652190e+02,2.288362745282e+01,2.019095776946e+02,4.127079017901e+01,1.935895220546e+02
2974,22362,4094604492.187500,-2.732977313066e+02,1.171275991314e+02,-2.880506895726e+02,9.572493962148e+01,-2.706002155023e+02,1.204048607381e+02
2975,22363,4094787597.656250,1.952126652190e+02,2.732977313066e+02,1.753248563623e+02,2.946983318938e+02,1.974956587275e+02,2.694370896243e+02
2976,22364,4094970703.125000,-1.171275991314e+02,-1.171275991314e+02,-1.092656626757e+02,-1.291158328738e+02,-1.179755148920e+02,-1.153541400740e+02
2977,22365,4095153808.593750,-1.952126652190e+02,-2.732977313066e+02,-1.755019958285e+02,-2.944254850520e+02,-1.976281297900e+02,-2.692181914505e+02
2978,22366,4095336914.062500,-1.952126652190e+02,-1.952126652190e+02,-1.820335295107e+02,-2.147965445103e+02,-1.964362048681e+02,-1.910367551123e+02
2979,22367,4095520019.531250,1.952126652190e+02,1.171275991314e+02,1.885018888793e+02,1.352728567554e+02,1.959729048604e+02,1.139458038793e+02
2980,22368,4095703125.000000,-1.171275991314e+02,1.171275991314e+02,-1.286256330067e+02,1.091567616059e+02,-1.149358685230e+02,1.179928922622e+02
2981,22369,4095886230.468750,1.171275991314e+02,-1.952126652190e+02,1.349577299007e+02,-1.883331453429e+02,1.136844842664e+02,-1.958113774880e+02
2982,22370,4096069335.937500,-1.952126652190e+02,-1.952126652190e+02,-1.818855741359e+02,-2.139955525147e+02,-1.961835658654e+02,-1.917434160868e+02
2983,22371,4096252441.406250,1.171275991314e+02,-3.904253304380e+01,1.219562904663e+02,-3.002218775667e+01,1.158579490760e+02,-4.031420080307e+01
2984,22372,4096435546.875000,1.952126652190e+02,-1.952126652190e+02,2.137851720008e+02,-1.821156971251e+02,1.913972555182e+02,-1.966467495249e+02
2985,22373,4096618652.343750,2.732977313066e+02,1.952126652190e+02,2.614127788515e+02,2.199697333212e+02,2.739908843415e+02,1.901505214397e+02
2986,22374,4096801757.812500,3.904253304380e+01,3.904253304380e+01,3.646911543761e+01,4.271490885620e+01,3.921930046837e+01,3.836426705278e+01
2987,22375,4096984863.281250,-1.952126652190e+02,-1.952126652190e+02,-1.824604260393e+02,-2.134691378064e+02,-1.967846984136e+02,-1.915337891539e+02
2988,22376,4097167968.750000,-1.171275991314e+02,1.171275991314e+02,-1.281364540910e+02,1.094352919951e+02,-1.151669720198e+02,1.178864065164e+02
2989,22377,4097351074.218750,3.904253304380e+01,-2.732977313066e+02,6.155169007766e+01,-2.740479186566e+02,3.558847465591e+01,-2.719201140639e+02
2990,22378,4097534179.687500,-1.171275991314e+02,1.952126652190e+02,-1.345790489608e+02,1.885338238053e+02,-1.142119550404e+02,1.957140827399e+02
2991,22379,4097717285.156250,-3.904253304380e+01,2.732977313066e+02,-6.182847962902e+01,2.740431932376e+02,-3.617814978947e+01,2.723199555317e+02
2992,22380,4097900390.625000,-3.904253304380e+01,1.171275991314e+02,-4.918869076763e+01,1.156205679917e+02,-3.785830152083e+01,1.171595081657e+02
2993,22381,4098083496.093750,-3.904253304380e+01,1.171275991314e+02,-4.917776516761e+01,1.156310104804e+02,-3.756665048817e+01,1.170176875993e+02
2994,22382,4098266601.562500,-2.732977313066e+02,-3.904253304380e+01,-2.741029965655e+02,-6.171165080323e+01,-2.723883036863e+02,-3.642380631881e+01
2995,22383,4098449707.031250,1.952126652190e+02,1.171275991314e+02,1.886762521249e+02,1.344551626041e+02,1.955666614799e+02,1.148366896338e+02
2996,22384,4098632812.500000,-1.952126652190e+02,2.732977313066e+02,-2.197043744423e+02,2.618207461746e+02,-1.916101925688e+02,2.745907661952e+02
2997,22385,4098815917.968750,3.904253304380e+01,2.732977313066e+02,1.819603248638e+01,2.803520639511e+02,4.161904918285e+01,2.718685898312e+02
2998,22386,4098999023.437500,1.171275991314e+02,2.732977313066e+02,9.765545954354e+01,2.863835369020e+02,1.195968003621e+02,2.713267217196e+02
2999,22387,4099182128.906250,-2.732977313066e+02,2.732977313066e+02,-2.981022343999e+02,2.564278064996e+02,-2.689976046608e+02,2.760269556440e+02
