freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
3528000000.000000,1.000000000000e+00,1.000000000000e+00,-2.603684159694e-14,-1.152543359475,-1.152989388102,-4.460286264438e-04,4.059575162,5.702778860,5.702474328,9.762354022,9.762049490
3529000000.000000,1.000000000000e+00,1.000000000000e+00,-2.892982399660e-14,-1.188412564896,-1.188856656863,-4.440919666739e-04,4.548696586,5.714384968,5.714073252,10.263081554,10.262769838
3530000000.000000,1.000000000000e+00,1.000000000000e+00,-1.253625706519e-14,-1.224352438813,-1.224794550305,-4.421114917641e-04,3.578075093,5.725277053,5.724958580,9.303352146,9.303033673
3531000000.000000,1.000000000000e+00,1.000000000000e+00,1.928654933107e-14,-1.260358518214,-1.260798608128,-4.400899139128e-04,4.035374027,5.735463137,5.735138343,9.770837164,9.770512370
3532000000.000000,1.000000000000e+00,1.000000000000e+00,1.928654933107e-14,-1.296426394242,-1.296864424252,-4.380300105558e-04,4.262289430,5.744952422,5.744621754,10.007241852,10.006911184
3533000000.000000,1.000000000000e+00,1.000000000000e+00,1.542923946485e-14,-1.332551719508,-1.332987654125,-4.359346172349e-04,4.088212563,5.753755254,5.753419168,9.841967817,9.841631731
3534000000.000000,1.000000000000e+00,1.000000000000e+00,2.507251413039e-14,-1.368730215193,-1.369164021813,-4.338066203744e-04,4.546094443,5.761883094,5.761542051,10.307977537,10.307636494
3535000000.000000,1.000000000000e+00,1.000000000000e+00,-1.735789439796e-14,-1.404957677901,-1.405389326851,-4.316489498821e-04,4.703988181,5.769348469,5.769002940,10.473336650,10.472991121
3536000000.000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,-1.441229986257,-1.441659450829,-4.294645717251e-04,4.055509506,5.776164935,5.775815393,9.831674441,9.831324899
3537000000.000000,1.000000000000e+00,1.000000000000e+00,-1.060760213209e-14,-1.477543107203,-1.477970363684,-4.272564804535e-04,3.868975726,5.782347026,5.781993950,9.651322752,9.650969676
3538000000.000000,1.000000000000e+00,1.000000000000e+00,-2.025087679762e-14,-1.513893102003,-1.514318129695,-4.250276917290e-04,4.214431568,5.787910204,5.787554075,10.002341772,10.001985643
3539000000.000000,1.000000000000e+00,1.000000000000e+00,-9.643274665533e-16,-1.550276131911,-1.550698913146,-4.227812348740e-04,3.939505310,5.792870808,5.792512109,9.732376118,9.732017419
3540000000.000000,1.000000000000e+00,1.000000000000e+00,2.700116906349e-14,-1.586688463503,-1.587108983648,-4.205201455265e-04,3.752160493,5.797245997,5.796885210,9.549406490,9.549045703
3541000000.000000,1.000000000000e+00,1.000000000000e+00,-1.542923946485e-14,-1.623126473650,-1.623544721108,-4.182474583734e-04,4.273592711,5.801053690,5.800691299,10.074646401,10.074284010
