subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
2510,21898,4009643554.687500,3.904253304380e+01,3.904253304380e+01,2.769826463668e+01,5.022637863011e+01,2.684288315935e+01,4.879984962570e+01,2.683971554798e+01,4.879430691355e+01
2511,21899,4009826660.156250,-1.952126652190e+02,3.904253304380e+01,-2.060739239403e+02,-1.715335553275e+01,-2.000784848706e+02,-1.687191823974e+01,-2.000555991877e+02,-1.687036491183e+01
2512,21900,4010009765.625000,-1.952126652190e+02,1.952126652190e+02,-2.508345539662e+02,1.389304240835e+02,-2.436980025617e+02,1.346339301288e+02,-2.436705109684e+02,1.346181476762e+02
2513,21901,4010192871.093750,3.904253304380e+01,3.904253304380e+01,2.771963979466e+01,5.021621681124e+01,2.686151255632e+01,4.878612355352e+01,2.685837373817e+01,4.878063857523e+01
2514,21902,4010375976.562500,-1.171275991314e+02,1.952126652190e+02,-1.734086308769e+02,1.608778776386e+02,-1.685341166070e+02,1.560172404252e+02,-1.685153515921e+02,1.559992842400e+02
2515,21903,4010559082.031250,-2.732977313066e+02,1.952126652190e+02,-3.294738950798e+02,1.152044172248e+02,-3.200044070199e+02,1.115055603268e+02,-3.199685554110e+02,1.114923972376e+02
2516,21904,4010742187.500000,2.732977313066e+02,1.952126652190e+02,2.154824092945e+02,2.746618570293e+02,2.089168113623e+02,2.668861704485e+02,2.088928516314e+02,2.668565899824e+02
2517,21905,4010925292.968750,-1.171275991314e+02,-2.732977313066e+02,-3.643996447210e+01,-3.069688616693e+02,-3.505559313576e+01,-2.980566990929e+02,-3.505111309968e+01,-2.980234091577e+02
2518,21906,4011108398.437500,-3.904253304380e+01,-1.171275991314e+02,-4.517173323859e+00,-1.282769394388e+02,-4.250849691275e+00,-1.245383510873e+02,-4.250142912854e+00,-1.245244704984e+02
2519,21907,4011291503.906250,-3.904253304380e+01,-2.732977313066e+02,4.099877412101e+01,-2.840306740244e+02,4.009919158571e+01,-2.756923790170e+02,4.009525056496e+01,-2.756616665247e+02
2520,21908,4011474609.375000,-1.171275991314e+02,1.952126652190e+02,-1.737029887778e+02,1.606638356178e+02,-1.687941909736e+02,1.557855814748e+02,-1.687757901760e+02,1.557680146848e+02
2521,21909,4011657714.843750,1.171275991314e+02,2.732977313066e+02,3.767586882833e+01,3.066907225401e+02,3.625217392388e+01,2.977585642868e+02,3.624761725042e+01,2.977257757860e+02
2522,21910,4011840820.312500,-1.952126652190e+02,-1.952126652190e+02,-1.385417526047e+02,-2.511828491356e+02,-1.342223840288e+02,-2.439743527276e+02,-1.342071701485e+02,-2.439477781732e+02
2523,21911,4012023925.781250,-1.952126652190e+02,-1.171275991314e+02,-1.612609310753e+02,-1.730204428343e+02,-1.563546496835e+02,-1.681200819239e+02,-1.563372057772e+02,-1.681019553753e+02
2524,21912,4012207031.250000,2.732977313066e+02,3.904253304380e+01,2.617268619512e+02,1.173061149443e+02,2.539293943036e+02,1.141408023968e+02,2.539014617407e+02,1.141288171511e+02
2525,21913,4012390136.718750,-2.732977313066e+02,-2.732977313066e+02,-1.948312653372e+02,-3.510902623787e+02,-1.887458406605e+02,-3.409917285296e+02,-1.887246745718e+02,-3.409549933824e+02
2526,21914,4012573242.187500,2.732977313066e+02,-1.952126652190e+02,3.286781730892e+02,-1.170637009552e+02,3.191484298103e+02,-1.132812578288e+02,3.191140563309e+02,-1.132683854852e+02
2527,21915,4012756347.656250,-2.732977313066e+02,-2.732977313066e+02,-1.952995839387e+02,-3.508034929919e+02,-1.891920315112e+02,-3.406982244607e+02,-1.891709680927e+02,-3.406617933654e+02
2528,21916,4012939453.125000,-1.952126652190e+02,-1.171275991314e+02,-1.618277453519e+02,-1.724437015423e+02,-1.568873571934e+02,-1.675414997540e+02,-1.568701679333e+02,-1.675237706994e+02
2529,21917,4013122558.593750,-2.732977313066e+02,-3.904253304380e+01,-2.621513899914e+02,-1.163585120184e+02,-2.543134372819e+02,-1.132085076822e+02,-2.542859714383e+02,-1.131968505741e+02
2530,21918,4013305664.062500,1.171275991314e+02,2.732977313066e+02,4.006547909685e+01,3.063604198760e+02,3.856421668329e+01,2.973786602093e+02,3.855954360704e+01,2.973469821978e+02
2531,21919,4013488769.531250,2.732977313066e+02,2.732977313066e+02,1.966375814529e+02,3.502776388438e+02,1.904743375097e+02,3.401590120329e+02,1.904534422663e+02,3.401231873391e+02
