tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
46,6.757731303319041e-02,1.316098694448888e-01,2214,4313,6.756591796875000e-02,1.316223144531250e-01,1.479512991932047e-01,-1.139506444040872e-05,1.244500823624484e-05
47,1.654204858546370e-01,-5.978918908861740e-02,5420,-1959,1.654052734375000e-01,-5.978393554687500e-02,1.758778650950910e-01,-1.521241713695054e-05,5.253541742397672e-06
48,-1.342799719723305e-01,4.404676373213762e-01,-4400,14433,-1.342773437500000e-01,4.404602050781250e-01,4.604732319060681e-01,2.628222330464114e-06,-7.432243251226378e-06
49,-4.512029875105500e-01,-5.123285048089014e-01,-14785,-16788,-4.512023925781250e-01,-5.123291015625000e-01,6.826893198051825e-01,5.949324249909793e-07,-5.967535986473038e-07
50,8.038513502527116e-01,-1.483689405127412e-01,26341,-4862,8.038635253906250e-01,-1.483764648437500e-01,8.174424400365891e-01,1.217513791340608e-05,-7.524331008756935e-06
51,-2.951244476547667e-01,7.992218000954538e-01,-9671,26189,-2.951354980468750e-01,7.992248535156250e-01,8.519773052637313e-01,-1.105039210830272e-05,3.053420171150734e-06
52,-4.942352383084225e-01,-6.110369432788630e-01,-16195,-20022,-4.942321777343750e-01,-6.110229492187500e-01,7.858845271285356e-01,3.060574047530906e-06,1.399406011304283e-05
53,6.245017940875763e-01,-8.672554772977589e-02,20464,-2842,6.245117187500000e-01,-8.673095703125000e-02,6.305054684644976e-01,9.924662423665964e-06,-5.409301474107453e-06
54,-1.667764155001953e-01,3.713199188431167e-01,-5465,12167,-1.667785644531250e-01,3.713073730468750e-01,4.070433083100819e-01,-2.148952929659220e-06,-1.254579624165864e-05
55,-6.526956972814649e-02,-1.299642756399161e-01,-2139,-4259,-6.527709960937500e-02,-1.299743652343750e-01,1.454456439756481e-01,-7.529881228512947e-06,-1.008959445894519e-05
