tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
190,-2.886114465566952e-02,-9.980653865469194e-02,1.038956728120377e-01,-1.852288779365010e+00
191,-2.774581843548649e-02,1.121089780174770e-01,1.154913563552621e-01,1.813410971929500e+00
192,-8.680449094124065e-02,-2.275269204856301e-01,2.435231389277868e-01,-1.935264811865770e+00
193,3.448469098898146e-01,1.042471836503288e-01,3.602594434009736e-01,2.935654493279042e-01
194,-3.425312964001506e-01,2.778269498771004e-01,4.410391174165628e-01,2.460120295962602e+00
195,-4.930146309794503e-02,-4.716994640800761e-01,4.742689307524044e-01,-1.674937010469202e+00
196,4.052905186292352e-01,2.066804966436029e-01,4.549475048657820e-01,4.715809723242411e-01
197,-3.357149080937569e-01,1.876807319700833e-01,3.846148159772656e-01,2.631829387979635e+00
198,3.491199825881784e-02,-2.695721235605300e-01,2.718234306003759e-01,-1.442004258297275e+00
199,7.439842290576189e-02,1.147571893928793e-01,1.367638031359824e-01,9.956089106702017e-01
200,-5.618925114432731e-03,-9.404398929626019e-02,9.421169907286836e-02,-1.630473221477184e+00
201,9.859604496915099e-02,2.034799194260478e-01,2.261089509355827e-01,1.119585533380461e+00
202,-3.488777221484680e-01,-8.212461712194244e-02,3.584133336650986e-01,-2.910404916297626e+00
203,3.361461871649846e-01,-3.065355392229632e-01,4.549266929432363e-01,-7.393571432045156e-01
204,8.084761891822662e-02,4.942137789788255e-01,5.007829837537195e-01,1.408644250730142e+00
205,-4.479983409938417e-01,-1.953446771223302e-01,4.887351597882660e-01,-2.730409285671638e+00
206,3.515731823995376e-01,-2.278771810471986e-01,4.189650489295692e-01,-5.750836541664338e-01
207,-1.576190546248310e-02,2.992718984812990e-01,2.996866811928905e-01,1.623415219322439e+00
208,-9.589545866739417e-02,-1.169178862736408e-01,1.512141895581427e-01,-2.257730528181650e+00
209,1.184645949029740e-02,9.349947256684769e-02,9.424696267113314e-02,1.444767034479810e+00
210,-1.125157841180734e-01,-2.132434145122700e-01,2.411069379104565e-01,-2.056310758905850e+00
211,3.809408450707781e-01,7.361593330794111e-02,3.879887022582459e-01,1.908945911911941e-01
212,-3.495306927312358e-01,3.485687049425491e-01,4.936312867176304e-01,2.357572499087616e+00
213,-1.126763485572190e-01,-5.288714363383739e-01,5.407411170780363e-01,-1.780708420767546e+00
214,4.871946668214707e-01,1.841631973278274e-01,5.208404041827901e-01,3.614046989096246e-01
215,-3.524365750791317e-01,2.540415823348713e-01,4.344521435195292e-01,2.517033035523651e+00
216,4.265819734806109e-03,-2.920651827024230e-01,2.920963337068947e-01,-1.556191653974042e+00
217,6.783678057249758e-02,1.023884626439258e-01,1.228219283394776e-01,9.856538603677969e-01
218,2.837105768710720e-02,-1.336964239874691e-01,1.366735186542084e-01,-1.361693147703832e+00
219,1.386411789921647e-01,2.857101561243002e-01,3.175715192282039e-01,1.119017270757231e+00
220,-4.667215025624071e-01,-8.424714180314985e-02,4.742642110217795e-01,-2.963007334736192e+00
221,3.947980185849017e-01,-4.159598102343250e-01,5.734876103358643e-01,-8.114934870477587e-01
222,1.440517078525345e-01,5.797140560892792e-01,5.973435203990379e-01,1.327241680482707e+00
223,-5.100640369747662e-01,-1.734957449502058e-01,5.387634873771816e-01,-2.813724154643953e+00
224,3.220203660774720e-01,-2.420215645129477e-01,4.028294351930653e-01,-6.445065766085307e-01
225,-1.826925498109200e-02,2.089782677943468e-01,2.097753133423709e-01,1.657996426974395e+00
