freq_hz,h1_abs_db,fixed_fir_abs_db,fixed_fir_phase_rad,fixed_total_abs_db,fixed_total_phase_rad,target_phase_rad,fixed_phase_error_rad,fixed_total_group_delay_ns
4039000000.000000,2.305235490000e-01,-2.422967744588e-01,1.227463905197e+00,-1.177322545879e-02,-3.716246260377e+01,-3.716111410115e+01,-1.348502619827e-03,1.091731067138e+01
4040000000.000000,2.404086190000e-01,-2.387950954256e-01,1.173327843635e+00,1.613523574403e-03,-3.723464723886e+01,-3.722787294504e+01,-6.774293820285e-03,1.077685976994e+01
4041000000.000000,2.265626460000e-01,-2.352183181125e-01,1.119162908777e+00,-8.655672112507e-03,-3.729788861770e+01,-3.729463178893e+01,-3.256828770368e-03,1.053217527451e+01
4042000000.000000,2.265242900000e-01,-2.315823683362e-01,1.064964574557e+00,-5.058078336247e-03,-3.736699845673e+01,-3.736139063282e+01,-5.607823917579e-03,1.042154367069e+01
4043000000.000000,2.256524860000e-01,-2.279030037929e-01,1.010728653779e+00,-2.250517792896e-03,-3.742884959784e+01,-3.742814947671e+01,-7.001211324322e-04,1.044090300359e+01
4044000000.000000,2.295781730000e-01,-2.241956910050e-01,9.564513000201e-01,5.382481995015e-03,-3.749820271343e+01,-3.749490832059e+01,-3.294392831741e-03,1.079878201464e+01
4045000000.000000,2.559924620000e-01,-2.204754876154e-01,9.021290078676e-01,3.551697438464e-02,-3.756455109482e+01,-3.756166716448e+01,-2.883930334448e-03,1.056289397255e+01
4046000000.000000,2.226118610000e-01,-2.167569309910e-01,8.477586115818e-01,5.854930009029e-03,-3.763093995385e+01,-3.762842600837e+01,-2.513945473417e-03,1.041767728309e+01
4047000000.000000,2.196757530000e-01,-2.130539339484e-01,7.933372822545e-01,6.621819051586e-03,-3.769546348850e+01,-3.769518485226e+01,-2.786362370699e-04,1.065070074660e+01
4048000000.000000,2.117030490000e-01,-2.093796883678e-01,7.388625235624e-01,2.323360632201e-03,-3.776478060673e+01,-3.776194369615e+01,-2.836910580221e-03,1.040475291639e+01
4049000000.000000,2.186895850000e-01,-2.057465773136e-01,6.843321662123e-01,1.294300768642e-02,-3.782621346980e+01,-3.782870254004e+01,2.489070242390e-03,1.002775475594e+01
4050000000.000000,2.046345090000e-01,-2.021660961821e-01,6.297443611694e-01,2.468412817893e-03,-3.789079308942e+01,-3.789546138393e+01,4.668294504299e-03,1.074337797140e+01
4051000000.000000,2.159980020000e-01,-1.986487832642e-01,5.750975717786e-01,1.734921873579e-02,-3.796121873903e+01,-3.796222022782e+01,1.001488781249e-03,1.055561912150e+01
4052000000.000000,2.164059910000e-01,-1.952041600562e-01,5.203905648727e-01,2.120183094376e-02,-3.802343891137e+01,-3.802897907170e+01,5.540160337119e-03,1.030363614710e+01
4053000000.000000,2.084161990000e-01,-1.918406814635e-01,4.656224009736e-01,1.657551753648e-02,-3.809069804953e+01,-3.809573791559e+01,5.039866058816e-03,1.078333805389e+01
4054000000.000000,2.084773500000e-01,-1.885656960385e-01,4.107924236815e-01,1.991165396146e-02,-3.815894633381e+01,-3.816249675948e+01,3.550425669545e-03,1.136749779055e+01
4055000000.000000,2.169004780000e-01,-1.853854162172e-01,3.559002483546e-01,3.151506178279e-02,-3.823354623973e+01,-3.822925560337e+01,-4.290636357567e-03,1.119222881939e+01
4056000000.000000,2.135684120000e-01,-1.823048984918e-01,3.009457501704e-01,3.126351350821e-02,-3.829959202916e+01,-3.829601444726e+01,-3.577581898057e-03,1.062748602338e+01
4057000000.000000,2.083086100000e-01,-1.793280333391e-01,2.459290516599e-01,2.898057666089e-02,-3.836709516780e+01,-3.836277329115e+01,-4.321876648802e-03,1.062783519631e+01
4058000000.000000,2.061902490000e-01,-1.764575446619e-01,1.908505098082e-01,2.973270433807e-02,-3.843314534506e+01,-3.842953213504e+01,-3.613210025669e-03,9.979620923323e+00
4059000000.000000,1.934642360000e-01,-1.736949984376e-01,1.357107027976e-01,1.976923756239e-02,-3.849250278291e+01,-3.849629097893e+01,3.788196015520e-03,1.033800461117e+01
4060000000.000000,1.961062640000e-01,-1.710408202162e-01,8.051041647527e-02,2.506544378383e-02,-3.856305654242e+01,-3.856304982281e+01,-6.719605003980e-06,1.119372548678e+01
4061000000.000000,1.749059570000e-01,-1.684943209947e-01,2.525063062433e-02,6.411636005329e-03,-3.863316728593e+01,-3.862980866670e+01,-3.358619229196e-03,1.095201204876e+01
4062000000.000000,1.817891560000e-01,-1.660537310744e-01,-3.006749489238e-02,1.573542492563e-02,-3.870068358480e+01,-3.869656751059e+01,-4.116074205101e-03,1.022288595231e+01
4063000000.000000,1.788949440000e-01,-1.637162413100e-01,-8.544263405672e-02,1.517870268996e-02,-3.876163185956e+01,-3.876332635448e+01,1.694494923363e-03,1.000613652630e+01
4064000000.000000,1.902576290000e-01,-1.614780512602e-01,-1.408733086128e-01,2.877957773977e-02,-3.882642440480e+01,-3.883008519837e+01,3.660793565061e-03,1.048845223131e+01
4065000000.000000,1.653033490000e-01,-1.593344236332e-01,-1.963579019284e-01,5.968925366753e-03,-3.889343363747e+01,-3.889684404226e+01,3.410404791232e-03,1.079487234103e+01
4066000000.000000,1.770694780000e-01,-1.572797444481e-01,-2.518946727468e-01,1.978973355194e-02,-3.896207677138e+01,-3.896360288615e+01,1.526114770584e-03,1.042149596210e+01
4067000000.000000,1.661351020000e-01,-1.553075882789e-01,-3.074817687712e-01,1.082751372112e-02,-3.902439401808e+01,-3.903036173004e+01,5.967711953026e-03,1.068741801102e+01
4068000000.000000,1.707735710000e-01,-1.534107879682e-01,-3.631172400429e-01,1.736278303183e-02,-3.909637882701e+01,-3.909712057392e+01,7.417469110820e-04,1.103923249774e+01
4069000000.000000,1.764131650000e-01,-1.515815081697e-01,-4.187990520659e-01,2.483165683030e-02,-3.916311710495e+01,-3.916387941781e+01,7.623128659304e-04,1.072695658406e+01
4070000000.000000,1.571377220000e-01,-1.498113220569e-01,-4.745250986374e-01,7.326399943061e-03,-3.923117773901e+01,-3.923063826170e+01,-5.394773108520e-04,1.025439833911e+01
4071000000.000000,1.653847430000e-01,-1.480912906178e-01,-5.302932143504e-01,1.729345238221e-02,-3.929197767490e+01,-3.929739710559e+01,5.419430686899e-03,1.056512519855e+01
4072000000.000000,1.607360680000e-01,-1.464120438225e-01,-5.861011867314e-01,1.432402417747e-02,-3.936394301785e+01,-3.936415594948e+01,2.129316346213e-04,1.065944510882e+01
4073000000.000000,1.603259170000e-01,-1.447638631005e-01,-6.419467679823e-01,1.556205389947e-02,-3.942592821269e+01,-3.943091479337e+01,4.986580683642e-03,1.043224568815e+01
4074000000.000000,1.755591460000e-01,-1.431367644607e-01,-6.978276862988e-01,3.242238153932e-02,-3.949503848350e+01,-3.949767363726e+01,2.635153754852e-03,1.113923242729e+01
4075000000.000000,1.684899000000e-01,-1.415205817127e-01,-7.537416567391e-01,2.696931828726e-02,-3.956590793573e+01,-3.956443248115e+01,-1.475454579648e-03,1.031048089055e+01
4076000000.000000,1.380150870000e-01,-1.399050491400e-01,-8.096863916177e-01,-1.889962140044e-03,-3.962460380759e+01,-3.963119132504e+01,6.587517449510e-03,1.034830280370e+01
4077000000.000000,1.622375590000e-01,-1.382798830944e-01,-8.656596104050e-01,2.395767590564e-02,-3.969594854399e+01,-3.969795016892e+01,2.001624937037e-03,1.102967019596e+01
4078000000.000000,1.270819880000e-01,-1.366348619893e-01,-9.216590491123e-01,-9.552873989316e-03,-3.976320673102e+01,-3.976470901281e+01,1.502281790522e-03,1.060355213781e+01
4079000000.000000,1.435836710000e-01,-1.349599041136e-01,-9.776824691464e-01,8.623766886441e-03,-3.982919670998e+01,-3.983146785670e+01,2.271146722229e-03,1.059561789525e+01
4080000000.000000,1.219810720000e-01,-1.332451428432e-01,-1.033727665621e+00,-1.126407084324e-02,-3.989635519238e+01,-3.989822670059e+01,1.871508208275e-03,1.045252968298e+01
4081000000.000000,1.252977790000e-01,-1.314809987705e-01,-1.089792475110e+00,-6.183219770475e-03,-3.996054707183e+01,-3.996498554448e+01,4.438472645880e-03,1.061221483913e+01
4082000000.000000,1.294737020000e-01,-1.296582482816e-01,-1.145874782839e+00,-1.845462815763e-04,-4.002971221709e+01,-4.003174438837e+01,2.032171278202e-03,1.084521636667e+01
4083000000.000000,1.084118270000e-01,-1.277680882605e-01,-1.201972529299e+00,-1.935626126051e-02,-4.009683208009e+01,-4.009850323226e+01,1.671152167049e-03,1.084246847287e+01
4084000000.000000,1.139248140000e-01,-1.258021964839e-01,-1.258083716292e+00,-1.187738248395e-02,-4.016596269429e+01,-4.016526207615e+01,-7.006181488052e-04,1.063763516136e+01
4085000000.000000,1.090042390000e-01,-1.237527874727e-01,-1.314206412397e+00,-1.474854847269e-02,-4.023050854599e+01,-4.023202092003e+01,1.512374046548e-03,1.078090395132e+01
4086000000.000000,1.246137850000e-01,-1.216126634139e-01,-1.370338757851e+00,3.001121586083e-03,-4.030143952890e+01,-4.029877976392e+01,-2.659764981395e-03,1.049046258585e+01
4087000000.000000,1.211758250000e-01,-1.193752599749e-01,-1.426478968876e+00,1.800565025138e-03,-4.036233558676e+01,-4.036553860781e+01,3.203021054361e-03,1.040383311479e+01
4088000000.000000,9.973780300000e-02,-1.170346868003e-01,-1.482625341421e+00,-1.729688380034e-02,-4.043217795163e+01,-4.043229745170e+01,1.195000658285e-04,1.117460275410e+01
4089000000.000000,8.697873900000e-02,-1.145857624926e-01,-1.538776254356e+00,-2.760702349257e-02,-4.050275978643e+01,-4.049905629559e+01,-3.703490844323e-03,1.067026301559e+01
4090000000.000000,9.905998000000e-02,-1.120240439631e-01,-1.594930172123e+00,-1.296406396308e-02,-4.056626443124e+01,-4.056581513948e+01,-4.492917631751e-04,1.025334322498e+01
4091000000.000000,9.873878000000e-02,-1.093458500807e-01,-1.651085646852e+00,-1.060707008075e-02,-4.063160709744e+01,-4.063257398337e+01,9.668859319447e-04,1.082579179572e+01
4092000000.000000,1.084247690000e-01,-1.065482795665e-01,-1.707241319956e+00,1.876489433463e-03,-4.070230534314e+01,-4.069933282726e+01,-2.972515884473e-03,1.097284513095e+01
4093000000.000000,6.414910400000e-02,-1.036292231080e-01,-1.763395923244e+00,-3.948011910795e-02,-4.076949593604e+01,-4.076609167114e+01,-3.404264899942e-03,1.028112088343e+01
4094000000.000000,9.204872500000e-02,-1.005873697616e-01,-1.819548279543e+00,-8.538644761640e-03,-4.083150171849e+01,-4.083285051503e+01,1.348796540860e-03,1.035090467633e+01
4095000000.000000,9.860471000000e-02,-9.742220769872e-02,-1.875697302879e+00,1.182502301281e-03,-4.089956924040e+01,-4.089960935892e+01,4.011852097818e-05,1.076896540655e+01
4096000000.000000,6.581584600000e-02,-9.413401938882e-02,-1.931841998222e+00,-2.831817338881e-02,-4.096682852892e+01,-4.096636820281e+01,-4.603261134832e-04,1.079748000227e+01
4097000000.000000,6.487884800000e-02,-9.072387141525e-02,-1.987981460839e+00,-2.584502341525e-02,-4.103525437581e+01,-4.103312704670e+01,-2.127329111005e-03,1.043904235187e+01
4098000000.000000,6.962224800000e-02,-8.719359903291e-02,-2.044114875259e+00,-1.757135103291e-02,-4.109800940398e+01,-4.109988589059e+01,1.876486611508e-03,1.055434833309e+01
4099000000.000000,6.837974900000e-02,-8.354578576189e-02,-2.100241513910e+00,-1.516603676189e-02,-4.116788422856e+01,-4.116664473448e+01,-1.239494080174e-03,1.130699765364e+01
4100000000.000000,5.737980200000e-02,-7.978373818197e-02,-2.156360735429e+00,-2.240393618197e-02,-4.124009732703e+01,-4.123340357837e+01,-6.693748662251e-03,1.051156248380e+01
4101000000.000000,6.984440900000e-02,-7.591145626230e-02,-2.212471982691e+00,-6.067047262298e-03,-4.129997641846e+01,-4.130016242225e+01,1.860037899917e-04,9.828320305858e+00
4102000000.000000,5.378876400000e-02,-7.193359948413e-02,-2.268574780584e+00,-1.814483548413e-02,-4.136360364251e+01,-4.136692126614e+01,3.317623635319e-03,1.095761135183e+01
4103000000.000000,4.706186200000e-02,-6.785544909894e-02,-2.324668733565e+00,-2.079358709894e-02,-4.143767382376e+01,-4.143368011003e+01,-3.993713727709e-03,1.101922965727e+01
4104000000.000000,5.556116300000e-02,-6.368286683301e-02,-2.380753523018e+00,-8.121703833012e-03,-4.150207536627e+01,-4.150043895392e+01,-1.636412345178e-03,1.053146043700e+01
4105000000.000000,2.909273200000e-02,-5.942225044894e-02,-2.436828904454e+00,-3.032951844894e-02,-4.157001605872e+01,-4.156719779781e+01,-2.818260911944e-03,1.027951659316e+01
4106000000.000000,2.625739100000e-02,-5.508048646415e-02,-2.492894704579e+00,-2.882309546415e-02,-4.163125158151e+01,-4.163395664170e+01,2.705060186393e-03,9.931752137766e+00
4107000000.000000,3.962144000000e-02,-5.066490047102e-02,-2.548950818259e+00,-1.104346047102e-02,-4.169482213694e+01,-4.170071548559e+01,5.893348652485e-03,1.066863213527e+01
4108000000.000000,3.832812800000e-02,-4.618320542367e-02,-2.604997205407e+00,-7.855077423669e-03,-4.176531756687e+01,-4.176747432948e+01,2.156762603946e-03,1.079536366948e+01
4109000000.000000,3.497045200000e-02,-4.164344828827e-02,-2.661033887827e+00,-6.672996288269e-03,-4.183048067772e+01,-4.183423317337e+01,3.752495642551e-03,1.115243429074e+01
4110000000.000000,3.167783400000e-02,-3.705395543594e-02,-2.717060946021e+00,-5.376121435939e-03,-4.190546318942e+01,-4.190099201725e+01,-4.471172168280e-03,1.104687922983e+01
4111000000.000000,2.994491100000e-02,-3.242327724736e-02,-2.773078516014e+00,-2.478366247361e-03,-4.196929985626e+01,-4.196775086114e+01,-1.548995114014e-03,1.036189103356e+01
4112000000.000000,1.760580300000e-02,-2.776013222340e-02,-2.829086786177e+00,-1.015432922340e-02,-4.203567455242e+01,-4.203450970503e+01,-1.164847383961e-03,1.037133452532e+01
4113000000.000000,1.536899999928e-05,-2.307335106709e-02,-2.885085994108e+00,-2.305798206709e-02,-4.209962988967e+01,-4.210126854892e+01,1.638659252833e-03,1.051466547250e+01
4114000000.000000,1.399026500000e-02,-1.837182109810e-02,-2.941076423555e+00,-4.381556098101e-03,-4.216780573563e+01,-4.216802739281e+01,2.216571800986e-04,1.089210870518e+01
4115000000.000000,-5.143990000000e-03,-1.366443133136e-02,-2.997058401417e+00,-1.880842133136e-02,-4.223650416443e+01,-4.223478623670e+01,-1.717927730745e-03,1.045777375657e+01
4116000000.000000,6.386619000001e-03,-8.960018639442e-03,-3.053032294828e+00,-2.573399639443e-03,-4.229922199646e+01,-4.230154508059e+01,2.323084131469e-03,1.110579142425e+01
4117000000.000000,-1.141706999999e-03,-4.267315269374e-03,-3.108998508338e+00,-5.409022269373e-03,-4.237606365543e+01,-4.236830392448e+01,-7.759730956103e-03,1.095420652152e+01
4118000000.000000,-6.442947000000e-03,4.051018943520e-04,3.118227825988e+00,-6.037845105647e-03,-4.243687661539e+01,-4.243506276836e+01,-1.813847026732e-03,9.650740537827e+00
4119000000.000000,-8.199928000001e-03,5.048860102274e-03,3.062275622459e+00,-3.151067897726e-03,-4.249733843773e+01,-4.250182161225e+01,4.483174520097e-03,1.023245102391e+01
4120000000.000000,-7.904599999955e-05,9.655837174222e-03,3.006329687328e+00,9.576791174221e-03,-4.256546138725e+01,-4.256858045614e+01,3.119068891095e-03,1.096035503234e+01
4121000000.000000,-1.019305800000e-02,1.421820541498e-02,2.950389492451e+00,4.025147414976e-03,-4.263507032113e+01,-4.263533930003e+01,2.689788963082e-04,1.109809409173e+01
4122000000.000000,-2.422896300000e-02,1.872847273402e-02,2.894454484727e+00,-5.500490265982e-03,-4.270492415072e+01,-4.270209814392e+01,-2.826006801044e-03,1.068216846536e+01
4123000000.000000,-7.269621000000e-03,2.317952075854e-02,2.838524088238e+00,1.590989975854e-02,-4.276930640903e+01,-4.276885698781e+01,-4.494212268469e-04,1.035281288353e+01
4124000000.000000,-4.475193200000e-02,2.756463977831e-02,2.782597706278e+00,-1.718729222169e-02,-4.283502143432e+01,-4.283561583170e+01,5.943973810076e-04,1.078684841812e+01
4125000000.000000,-4.235687100000e-02,3.187756035750e-02,2.726674723275e+00,-1.047931064250e-02,-4.290485794402e+01,-4.290237467559e+01,-2.483268432279e-03,1.067475560308e+01
4126000000.000000,-2.149181400000e-02,3.611248143371e-02,2.670754506601e+00,1.462066743370e-02,-4.296916436944e+01,-4.296913351947e+01,-3.084996732383e-05,1.028739551460e+01
4127000000.000000,-3.363750100000e-02,4.026409487890e-02,2.614836408293e+00,6.626593878899e-03,-4.303413316871e+01,-4.303589236336e+01,1.759194652344e-03,1.097171528501e+01
