freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
3764000000.000000,9.536213800000e-02,1.576548211223e+00,-9.586760117230e-02,-1.532094339527e+00,-5.054631723048e-04,-1.880510204984e+01,-1.880243203173e+01,-2.670018108844e-03,1.009448992807e+01
3765000000.000000,6.659291700000e-02,1.571882898635e+00,-9.637003650175e-02,-1.587212652918e+00,-2.977711950175e-02,-1.886488567582e+01,-1.886919087562e+01,4.305199800996e-03,9.899071847593e+00
3766000000.000000,9.596502400000e-02,1.562385440485e+00,-9.676906648338e-02,-1.642326974364e+00,-8.040424833753e-04,-1.892949745542e+01,-1.893594971951e+01,6.452264093717e-03,1.127935356556e+01
3767000000.000000,9.223913900000e-02,1.540367798155e+00,-9.705906221465e-02,-1.697438089634e+00,-4.819923214648e-03,-1.900662621302e+01,-1.900270856340e+01,-3.917649616646e-03,1.091458429960e+01
3768000000.000000,9.803809200000e-02,1.535448557978e+00,-9.723467153661e-02,-1.752546803268e+00,8.034204633864e-04,-1.906665416683e+01,-1.906946740729e+01,2.813240460856e-03,1.001857456377e+01
3769000000.000000,1.003746180000e-01,1.524686524563e+00,-9.729085886722e-02,-1.807653937038e+00,3.083759132782e-03,-1.913252333401e+01,-1.913622625118e+01,3.702917165029e-03,1.075275907140e+01
3770000000.000000,9.235578300000e-02,1.510538927302e+00,-9.722294320092e-02,-1.862760328210e+00,-4.867160200921e-03,-1.920177732245e+01,-1.920298509507e+01,1.207772620237e-03,1.113995283280e+01
3771000000.000000,9.660695100000e-02,1.494910639251e+00,-9.702663396705e-02,-1.917866827649e+00,-4.196829670468e-04,-1.927251210994e+01,-1.926974393896e+01,-2.768170980925e-03,1.136175108509e+01
3772000000.000000,8.828504300000e-02,1.477976921888e+00,-9.669806447122e-02,-1.972974297759e+00,-8.413021471219e-03,-1.934455329741e+01,-1.933650278285e+01,-8.050514565539e-03,1.064160255585e+01
3773000000.000000,8.482475400000e-02,1.471401100253e+00,-9.623382263369e-02,-2.028083610299e+00,-1.140906863369e-02,-1.940623843158e+01,-1.940326162673e+01,-2.976804850917e-03,9.667848624007e+00
3774000000.000000,9.151958100000e-02,1.466708499350e+00,-9.563097878854e-02,-2.083195644074e+00,-4.111397788540e-03,-1.946604306626e+01,-1.947002047062e+01,3.977404359222e-03,1.046865481607e+01
3775000000.000000,7.846103300000e-02,1.450075776253e+00,-9.488711031747e-02,-2.138311282551e+00,-1.642607731747e-02,-1.953779142784e+01,-1.953677931451e+01,-1.012113325856e-03,1.074757050165e+01
3776000000.000000,7.579204000000e-02,1.441886312538e+00,-9.400032291743e-02,-2.193431411390e+00,-1.820828291743e-02,-1.960110102039e+01,-1.960353815840e+01,2.437138009157e-03,1.053395261779e+01
3777000000.000000,9.379874000000e-02,1.427947857017e+00,-9.296926832278e-02,-2.248556915944e+00,8.294716772170e-04,-1.967016498047e+01,-1.967029700229e+01,1.320218224024e-04,1.042207192313e+01
3778000000.000000,7.773054300000e-02,1.421175961533e+00,-9.179315835628e-02,-2.303688678741e+00,-1.406261535628e-02,-1.973206863875e+01,-1.973705584618e+01,4.987207431093e-03,1.025264174289e+01
3779000000.000000,7.959813100000e-02,1.409380022120e+00,-9.047177518640e-02,-2.358827576965e+00,-1.087364418640e-02,-1.979900347638e+01,-1.980381469007e+01,4.811213682594e-03,1.141434111239e+01
3780000000.000000,8.466680300000e-02,1.388024922043e+00,-8.900547769932e-02,-2.413974479987e+00,-4.338674699316e-03,-1.987550547948e+01,-1.987057353396e+01,-4.931945528295e-03,1.083191580247e+01
3781000000.000000,5.403184500000e-02,1.383564823665e+00,-8.739520396466e-02,-2.469130246947e+00,-3.336335896466e-02,-1.993512134482e+01,-1.993733237784e+01,2.211033022782e-03,1.009309575890e+01
3782000000.000000,6.334135600000e-02,1.371512584526e+00,-8.564246975145e-02,-2.524295724423e+00,-2.230111375145e-02,-2.000233906144e+01,-2.000409122173e+01,1.752160296757e-03,1.091434139697e+01
3783000000.000000,8.837191800000e-02,1.356752661929e+00,-8.374936312053e-02,-2.579471744217e+00,4.622554879471e-03,-2.007227500383e+01,-2.007085006562e+01,-1.424938205584e-03,1.107705529462e+01
3784000000.000000,6.788942200000e-02,1.342677599232e+00,-8.171853515466e-02,-2.634659121277e+00,-1.382911315466e-02,-2.014153744358e+01,-2.013760890951e+01,-3.928534073623e-03,1.068686272472e+01
3785000000.000000,6.299236500000e-02,1.332844491782e+00,-7.955318688813e-02,-2.689858651774e+00,-1.656082188813e-02,-2.020657008153e+01,-2.020436775340e+01,-2.202328131641e-03,1.041022451085e+01
3786000000.000000,6.576977400000e-02,1.322270849937e+00,-7.725705255427e-02,-2.745071111364e+00,-1.148727855426e-02,-2.027235618297e+01,-2.027112659729e+01,-1.229585678026e-03,1.035662426760e+01
3787000000.000000,6.296347700000e-02,1.313137914799e+00,-7.483437929494e-02,-2.800297253651e+00,-1.187090229494e-02,-2.033671526039e+01,-2.033788544118e+01,1.170180785650e-03,1.028121310360e+01
3788000000.000000,4.805087800000e-02,1.303540013214e+00,-7.228990349982e-02,-2.855537808866e+00,-2.423902549982e-02,-2.040155371719e+01,-2.040464428507e+01,3.090567874533e-03,1.052884560162e+01
3789000000.000000,7.098244800000e-02,1.291324767959e+00,-6.962882396652e-02,-2.910793482782e+00,1.353624033482e-03,-2.046902463636e+01,-2.047140312895e+01,2.378492591902e-03,1.123149838156e+01
3790000000.000000,7.493214800000e-02,1.272927989010e+00,-6.685677210652e-02,-2.966064955879e+00,8.075375893480e-03,-2.054269288841e+01,-2.053816197284e+01,-4.530915565155e-03,1.070986685969e+01
3791000000.000000,5.449681300000e-02,1.267300011751e+00,-6.397977944305e-02,-3.021352882764e+00,-9.482966443056e-03,-2.060360879255e+01,-2.060492081673e+01,1.312024180088e-03,1.044688945537e+01
3792000000.000000,7.018592100000e-02,1.252241440326e+00,-6.100424264479e-02,-3.076657891859e+00,9.181678355213e-03,-2.067397237307e+01,-2.067167966062e+01,-2.292712451037e-03,1.057294923076e+01
3793000000.000000,5.692504000000e-02,1.245064115833e+00,-5.793688640430e-02,-3.131980585366e+00,-1.011846404300e-03,-2.073647239107e+01,-2.073843850451e+01,1.966113437103e-03,1.003256110882e+01
3794000000.000000,4.572577000000e-02,1.236832206867e+00,-5.478472442527e-02,3.095863767675e+00,-9.058954425268e-03,-2.080004525418e+01,-2.080519734840e+01,5.152094221916e-03,1.044534734268e+01
3795000000.000000,4.925579700000e-02,1.224504729583e+00,-5.155501884548e-02,3.040504002159e+00,-2.299221845478e-03,-2.086773249698e+01,-2.087195619229e+01,4.223695310795e-03,1.071805538808e+01
3796000000.000000,3.249212500000e-02,1.212884019068e+00,-4.825523840623e-02,2.985124899202e+00,-1.576311340623e-02,-2.093473231045e+01,-2.093871503618e+01,3.982725727624e-03,1.103122674726e+01
3797000000.000000,3.664283000000e-02,1.196660291734e+00,-4.489301567673e-02,2.929725956371e+00,-8.250185676727e-03,-2.100635498061e+01,-2.100547388006e+01,-8.811005486997e-04,1.119350517846e+01
3798000000.000000,4.099670200000e-02,1.183040490174e+00,-4.147610368682e-02,2.874306693550e+00,-4.794016868203e-04,-2.107539404499e+01,-2.107223272395e+01,-3.161321041105e-03,1.053177576010e+01
3799000000.000000,3.008038100000e-02,1.175173399298e+00,-3.801233226313e-02,2.818866651379e+00,-7.931951263128e-03,-2.113870117804e+01,-2.113899156784e+01,2.903898000994e-04,1.049589182695e+01
3800000000.000000,4.470040000000e-02,1.162046527643e+00,-3.450956442039e-02,2.763405389456e+00,1.019083557960e-02,-2.120728931162e+01,-2.120575041173e+01,-1.538899889194e-03,1.044322761766e+01
3801000000.000000,3.825908100000e-02,1.154884097698e+00,-3.097565310034e-02,2.707922484325e+00,7.283427899661e-03,-2.126993464670e+01,-2.127250925562e+01,2.574608924103e-03,1.090183420167e+01
3802000000.000000,2.954414300000e-02,1.136037900885e+00,-2.741839861125e-02,2.652417527259e+00,2.125744388756e-03,-2.134428580057e+01,-2.133926809951e+01,-5.017701066102e-03,1.097478051612e+01
3803000000.000000,3.201445400000e-02,1.128003300784e+00,-2.384550702556e-02,2.596890121862e+00,8.168946974438e-03,-2.140784780607e+01,-2.140602694340e+01,-1.820862675142e-03,1.006083391256e+01
