freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
3635000000.000000,1.903281549300,-38.198887887749,-5.020865435239,-43.219753322988,4.246185951,5.782895095,10.029081046,9.813229332
3636000000.000000,1.903805148075,-38.219219674904,-5.057205132087,-43.276424806991,3.601424426,5.784314960,9.385739386,9.813229332
3637000000.000000,1.904328746851,-38.244144721825,-5.093553280773,-43.337698002598,3.990353728,5.785581560,9.775935288,9.813229332
3638000000.000000,1.904852345627,-38.269363938734,-5.129908894184,-43.399272832918,4.067350321,5.786687382,9.854037703,9.813229332
3639000000.000000,1.905375944402,-38.295256553373,-5.166270939049,-43.461527492422,3.724983129,5.787625257,9.512608386,9.813229332
3640000000.000000,1.905899543178,-38.316173457265,-5.202638338135,-43.518811795400,4.056255936,5.788388368,9.844644304,9.813229332
3641000000.000000,1.906423141953,-38.346228968770,-5.239009972547,-43.585238941317,4.984858373,5.788970278,10.773828651,9.813229332
3642000000.000000,1.906946740729,-38.378815035035,-5.275384684124,-43.654199719159,4.290225986,5.789364933,10.079590919,9.813229332
3643000000.000000,1.907470339505,-38.400141538526,-5.311761277919,-43.711902816445,3.792167080,5.789566684,9.581733764,9.813229332
3644000000.000000,1.907993938280,-38.426468811989,-5.348138524768,-43.774607336757,3.586358865,5.789570294,9.375929159,9.813229332
3645000000.000000,1.908517537056,-38.445209053182,-5.384515163929,-43.829724217111,3.597848433,5.789370953,9.387219386,9.813229332
3646000000.000000,1.909041135831,-38.471680708817,-5.420889905793,-43.892570614610,4.776320109,5.788964289,10.565284398,9.813229332
3647000000.000000,1.909564734607,-38.505230061849,-5.457261434654,-43.962491496503,4.527868408,5.788346371,10.316214779,9.813229332
3648000000.000000,1.910088333383,-38.528579581324,-5.493628411537,-44.022207992861,3.389608703,5.787513725,9.177122428,9.813229332
3649000000.000000,1.910611932158,-38.547825141054,-5.529989477061,-44.077814618115,3.523437655,5.786463335,9.309900990,9.813229332
3650000000.000000,1.911135530934,-38.572856404736,-5.566343254352,-44.139199659088,4.321193387,5.785192651,10.106386038,9.813229332
3651000000.000000,1.911659129709,-38.602126858646,-5.602688351983,-44.204815210629,4.161117645,5.783699590,9.944817235,9.813229332
3652000000.000000,1.912182728485,-38.625146551234,-5.639023366927,-44.264169918161,3.979647685,5.781982546,9.761630231,9.813229332
3653000000.000000,1.912706327261,-38.652136586368,-5.675346887538,-44.327483473906,4.467077474,5.780040381,10.247117855,9.813229332
3654000000.000000,1.913229926036,-38.681281502334,-5.711657496526,-44.392938998860,4.449342287,5.777872436,10.227214723,9.813229332
3655000000.000000,1.913753524812,-38.708048670531,-5.747953773936,-44.456002444467,3.979960596,5.775478523,9.755439119,9.813229332
3656000000.000000,1.914277123587,-38.731295162214,-5.784234300118,-44.515529462332,4.096447493,5.772858923,9.869306416,9.813229332
3657000000.000000,1.914800722363,-38.759526147929,-5.820497658673,-44.580023806602,4.510772103,5.770014389,10.280786492,9.813229332
3658000000.000000,1.915324321139,-38.787979196212,-5.856742439377,-44.644721635589,3.703186641,5.766946132,9.470132773,9.813229332
3659000000.000000,1.915847919914,-38.806061763716,-5.892967241076,-44.699029004792,3.838590823,5.763655822,9.602246645,9.813229332
3660000000.000000,1.916371518690,-38.836216351126,-5.929170674527,-44.765387025653,4.170230680,5.760145578,9.930376258,9.813229332
3661000000.000000,1.916895117465,-38.858466427989,-5.965351365207,-44.823817793196,4.145252869,5.756417963,9.901670832,9.813229332
3662000000.000000,1.917418716241,-38.888307134973,-6.001507956058,-44.889815091031,3.919166053,5.752475968,9.671642021,9.813229332
3663000000.000000,1.917942315017,-38.907716121109,-6.037639110168,-44.945355231277,3.868514663,5.748323008,9.616837671,9.813229332
3664000000.000000,1.918465913792,-38.936920323950,-6.073743513392,-45.010663837342,4.247354020,5.743962910,9.991316930,9.813229332
3665000000.000000,1.918989512568,-38.961089945859,-6.109819876894,-45.070909822753,4.047008593,5.739399897,9.786408490,9.813229332
3666000000.000000,1.919513111343,-38.987776533814,-6.145866939608,-45.133643473422,4.122442582,5.734638579,9.857081161,9.813229332
3667000000.000000,1.920036710119,-39.012894087183,-6.181883470617,-45.194777557800,4.429265797,5.729683935,10.158949732,9.813229332
