freq_hz,h1_phase_rad,h2_fixed_phase_rad,pre_l1_09_phase_rad,phase_unwrapped_rad,omega_rad,group_delay_s,group_delay_ns
3633000000.000000,-34.773131216830,-3.371714315465,-38.144845532295,-38.144845532295,22826812220.983436584473,3.788374222276521e-09,3.788374222
3634000000.000000,-34.777652851652,-3.388207676897,-38.165860528549,-38.165860528549,22833095406.290615081787,4.300554003415875e-09,4.300554003
3635000000.000000,-34.794186849421,-3.404701038328,-38.198887887749,-38.198887887749,22839378591.597797393799,4.246185950780117e-09,4.246185951
3636000000.000000,-34.798025275145,-3.421194399759,-38.219219674904,-38.219219674904,22845661776.904975891113,3.601424425943153e-09,3.601424426
3637000000.000000,-34.806456960634,-3.437687761191,-38.244144721825,-38.244144721825,22851944962.212154388428,3.990353728124697e-09,3.990353728
3638000000.000000,-34.815182816112,-3.454181122622,-38.269363938734,-38.269363938734,22858228147.519332885742,4.067350320671459e-09,4.067350321
3639000000.000000,-34.824582069320,-3.470674484053,-38.295256553373,-38.295256553373,22864511332.826515197754,3.724983128978719e-09,3.724983129
3640000000.000000,-34.829005611780,-3.487167845485,-38.316173457265,-38.316173457265,22870794518.133693695068,4.056255935883651e-09,4.056255936
3641000000.000000,-34.842567761854,-3.503661206916,-38.346228968770,-38.346228968770,22877077703.440872192383,4.984858372585523e-09,4.984858373
3642000000.000000,-34.858660466688,-3.520154568347,-38.378815035035,-38.378815035035,22883360888.748054504395,4.290225985726244e-09,4.290225986
3643000000.000000,-34.863493608747,-3.536647929779,-38.400141538526,-38.400141538526,22889644074.055233001709,3.792167079614250e-09,3.792167080
3644000000.000000,-34.873327520779,-3.553141291210,-38.426468811989,-38.426468811989,22895927259.362411499023,3.586358865184987e-09,3.586358865
3645000000.000000,-34.875574400541,-3.569634652641,-38.445209053182,-38.445209053182,22902210444.669589996338,3.597848433367554e-09,3.597848433
3646000000.000000,-34.885552694744,-3.586128014073,-38.471680708817,-38.471680708817,22908493629.976772308350,4.776320109357048e-09,4.776320109
3647000000.000000,-34.902608686345,-3.602621375504,-38.505230061849,-38.505230061849,22914776815.283950805664,4.527868407923017e-09,4.527868408
3648000000.000000,-34.909464844389,-3.619114736935,-38.528579581324,-38.528579581324,22921060000.591129302979,3.389608703432739e-09,3.389608703
3649000000.000000,-34.912217042687,-3.635608098367,-38.547825141054,-38.547825141054,22927343185.898311614990,3.523437655213279e-09,3.523437655
3650000000.000000,-34.920754944938,-3.652101459798,-38.572856404736,-38.572856404736,22933626371.205490112305,4.321193386574629e-09,4.321193387
3651000000.000000,-34.933532037417,-3.668594821229,-38.602126858646,-38.602126858646,22939909556.512668609619,4.161117645078886e-09,4.161117645
3652000000.000000,-34.940058368573,-3.685088182661,-38.625146551234,-38.625146551234,22946192741.819847106934,3.979647684817512e-09,3.979647685
3653000000.000000,-34.950555042276,-3.701581544092,-38.652136586368,-38.652136586368,22952475927.127029418945,4.467077473892935e-09,4.467077474
3654000000.000000,-34.963206596810,-3.718074905524,-38.681281502334,-38.681281502334,22958759112.434207916260,4.449342286556287e-09,4.449342287
3655000000.000000,-34.973480403576,-3.734568266955,-38.708048670531,-38.708048670531,22965042297.741386413574,3.979960596008831e-09,3.979960596
3656000000.000000,-34.980233533828,-3.751061628386,-38.731295162214,-38.731295162214,22971325483.048568725586,4.096447492896538e-09,4.096447493
3657000000.000000,-34.991971158111,-3.767554989818,-38.759526147929,-38.759526147929,22977608668.355747222900,4.510772102586092e-09,4.510772103
3658000000.000000,-35.003930844963,-3.784048351249,-38.787979196212,-38.787979196212,22983891853.662925720215,3.703186641163684e-09,3.703186641
3659000000.000000,-35.005520051036,-3.800541712680,-38.806061763716,-38.806061763716,22990175038.970104217529,3.838590822625144e-09,3.838590823
3660000000.000000,-35.019181277014,-3.817035074112,-38.836216351126,-38.836216351126,22996458224.277286529541,4.170230680058299e-09,4.170230680
3661000000.000000,-35.024937992446,-3.833528435543,-38.858466427989,-38.858466427989,23002741409.584465026855,4.145252869391576e-09,4.145252869
3662000000.000000,-35.038285337999,-3.850021796974,-38.888307134973,-38.888307134973,23009024594.891643524170,3.919166052903921e-09,3.919166053
3663000000.000000,-35.041200962703,-3.866515158406,-38.907716121109,-38.907716121109,23015307780.198825836182,3.868514662575010e-09,3.868514663
3664000000.000000,-35.053911804113,-3.883008519837,-38.936920323950,-38.936920323950,23021590965.506004333496,4.247354020341852e-09,4.247354020
3665000000.000000,-35.061588064591,-3.899501881268,-38.961089945859,-38.961089945859,23027874150.813182830811,4.047008593387805e-09,4.047008593
3666000000.000000,-35.071781291114,-3.915995242700,-38.987776533814,-38.987776533814,23034157336.120361328125,4.122442582172075e-09,4.122442582
3667000000.000000,-35.080405483052,-3.932488604131,-39.012894087183,-39.012894087183,23040440521.427543640137,4.429265797269419e-09,4.429265797
3668000000.000000,-35.094454363810,-3.948981965562,-39.043436329372,-39.043436329372,23046723706.734722137451,4.265078015506484e-09,4.265078016
3669000000.000000,-35.101015311231,-3.965475326994,-39.066490638225,-39.066490638225,23053006892.041900634766,3.439937466399812e-09,3.439937466
3670000000.000000,-35.104695170040,-3.981968688425,-39.086663858465,-39.086663858465,23059290077.349082946777,3.981807019826557e-09,3.981807020
3671000000.000000,-35.118065451095,-3.998462049856,-39.116527500951,-39.116527500951,23065573262.656261444092,4.332929606961811e-09,4.332929607
3672000000.000000,-35.126157646464,-4.014955411288,-39.141113057752,-39.141113057752,23071856447.963439941406,4.404318078982123e-09,4.404318079
3673000000.000000,-35.140425021516,-4.031448772719,-39.171873794235,-39.171873794235,23078139633.270618438721,4.978898851470826e-09,4.978898851
3674000000.000000,-35.155737611821,-4.047942134150,-39.203679745971,-39.203679745971,23084422818.577800750732,3.786817407294738e-09,3.786817407
3675000000.000000,-35.155024849642,-4.064435495582,-39.219460345224,-39.219460345224,23090706003.884979248047,3.491428051618061e-09,3.491428052
3676000000.000000,-35.166625467828,-4.080928857013,-39.247554324841,-39.247554324841,23096989189.192157745361,4.674842014676265e-09,4.674842015
3677000000.000000,-35.180783924100,-4.097422218444,-39.278206142544,-39.278206142544,23103272374.499340057373,4.498049366171216e-09,4.498049366
3678000000.000000,-35.190162900342,-4.113915579876,-39.304078480218,-39.304078480218,23109555559.806518554688,3.284996970393375e-09,3.284996970
