subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
839,20227,3703674316.406250,2.732977313066e+02,2.732977313066e+02,2.618891858895e+02,2.848571490398e+02,2.698891529727e+02,2.591788596677e+02,1.000000000000e+00,-1.191372827740
840,20228,3703857421.875000,-1.952126652190e+02,1.171275991314e+02,-2.001383176811e+02,1.088548193892e+02,-1.968522109649e+02,1.046004807379e+02,1.000000000000e+00,-1.197675971828
841,20229,3704040527.343750,-3.904253304380e+01,1.952126652190e+02,-4.726415502833e+01,1.934962118463e+02,-4.120168006383e+01,1.819765424672e+02,1.000000000000e+00,-1.203977694381
842,20230,3704223632.812500,1.952126652190e+02,-1.952126652190e+02,2.031996365951e+02,-1.872881506329e+02,1.912409172044e+02,-2.072315181323e+02,1.000000000000e+00,-1.210277999306
843,20231,3704406738.281250,-1.171275991314e+02,1.171275991314e+02,-1.218118831337e+02,1.126010206951e+02,-1.186501549692e+02,1.047513710561e+02,1.000000000000e+00,-1.216576890558
844,20232,3704589843.750000,-1.171275991314e+02,-3.904253304380e+01,-1.157872491402e+02,-4.352603013335e+01,-1.192592359959e+02,-5.068373574005e+01,1.000000000000e+00,-1.222874372135
845,20233,3704772949.218750,3.904253304380e+01,-1.952126652190e+02,4.622350930706e+01,-1.941203301241e+02,3.544763714706e+01,-2.072380182266e+02,1.000000000000e+00,-1.229170448084
846,20234,3704956054.687500,3.904253304380e+01,-2.732977313066e+02,4.869607133648e+01,-2.725324466158e+02,3.475893432574e+01,-2.852572553159e+02,1.000000000000e+00,-1.235465122493
847,20235,3705139160.156250,3.904253304380e+01,-1.171275991314e+02,4.325398303233e+01,-1.160189333040e+02,3.608418716554e+01,-1.295072530503e+02,1.000000000000e+00,-1.241758399499
848,20236,3705322265.625000,1.171275991314e+02,-1.952126652190e+02,1.243943777579e+02,-1.914355804819e+02,1.137131969949e+02,-2.078192088106e+02,1.000000000000e+00,-1.248050283282
849,20237,3705505371.093750,-1.171275991314e+02,-1.171275991314e+02,-1.130877299107e+02,-1.216648946784e+02,-1.192292285140e+02,-1.286578051237e+02,1.000000000000e+00,-1.254340778065
850,20238,3705688476.562500,-3.904253304380e+01,-1.952126652190e+02,-3.183691504177e+01,-1.970701024595e+02,-4.144507257982e+01,-2.069612580108e+02,1.000000000000e+00,-1.260629888117
851,20239,3705871582.031250,-2.732977313066e+02,3.904253304380e+01,-2.753228757228e+02,2.872654867208e+01,-2.740452351190e+02,2.731266838357e+01,1.000000000000e+00,-1.266917617751
852,20240,3706054687.500000,-1.952126652190e+02,1.171275991314e+02,-2.000988137797e+02,1.098399286322e+02,-1.959211025685e+02,1.047906823567e+02,1.000000000000e+00,-1.273203971323
853,20241,3706237792.968750,2.732977313066e+02,3.904253304380e+01,2.723356168235e+02,4.960976331327e+01,2.712059731625e+02,2.591094965120e+01,1.000000000000e+00,-1.279488953230
