freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
4108000000.000000,after_l1_08_fixed_fir,1.002222079273e+00,6.967465902814e-02,2.222079272574e-03,6.967465902814e-02,6.971008354
4109000000.000000,after_l1_08_fixed_fir,1.002273929090e+00,6.980910492092e-02,2.273929090379e-03,6.980910492092e-02,6.984613005
4110000000.000000,after_l1_08_fixed_fir,1.002973345226e+00,6.008897181798e-02,2.973345225644e-03,6.008897181798e-02,6.016249094
4111000000.000000,after_l1_08_fixed_fir,1.003136426532e+00,6.154579743015e-02,3.136426531796e-03,6.154579743015e-02,6.162566310
4112000000.000000,after_l1_08_fixed_fir,1.002230884470e+00,6.037356837563e-02,2.230884469741e-03,6.037356837563e-02,6.041477141
4113000000.000000,after_l1_08_fixed_fir,1.000574817256e+00,6.157959399105e-02,5.748172564752e-04,6.157959399105e-02,6.158227676
4114000000.000000,after_l1_08_fixed_fir,1.002814564993e+00,5.876951806643e-02,2.814564993101e-03,5.876951806643e-02,5.883687645
4115000000.000000,after_l1_08_fixed_fir,1.001256685171e+00,5.520255604190e-02,1.256685170726e-03,5.520255604190e-02,5.521685840
4116000000.000000,after_l1_08_fixed_fir,1.002897553206e+00,5.782072195192e-02,2.897553206152e-03,5.782072195192e-02,5.789327855
4117000000.000000,after_l1_08_fixed_fir,1.003085292074e+00,4.614515799551e-02,3.085292073673e-03,4.614515799551e-02,4.624818519
4118000000.000000,after_l1_08_fixed_fir,1.002713329793e+00,5.055261490016e-02,2.713329792504e-03,5.055261490016e-02,5.062537933
4119000000.000000,after_l1_08_fixed_fir,1.002711938041e+00,5.532541831660e-02,2.711938041151e-03,5.532541831660e-02,5.539184525
4120000000.000000,after_l1_08_fixed_fir,1.004260331906e+00,5.246927474572e-02,4.260331905911e-03,5.246927474572e-02,5.264195304
4121000000.000000,after_l1_08_fixed_fir,1.003765464662e+00,4.800331448045e-02,3.765464662122e-03,4.800331448045e-02,4.815077284
4122000000.000000,after_l1_08_fixed_fir,1.002808662464e+00,4.327230112662e-02,2.808662463577e-03,4.327230112662e-02,4.336335584
4123000000.000000,after_l1_08_fixed_fir,1.005185104148e+00,4.418503453238e-02,5.185104148225e-03,4.418503453238e-02,4.448822970
